COMMENT_ID,DATE,CONTENT,CLASS
_2viQ_Qnc6-3Nk200KmVtS-kiCS_1CjKJsMIbXakyfI,14:40.2,wow,0
z12uzrtwrxnfxrh3h22bzbuhekqzzp4mh,31:49.8,Fuck you Eminem﻿,0
z12uftdyclu0s1mbc04cffvjlrukxpl5zdg,53:33.0,Cutie girl and beautiful song,0
z12guhfqxzvgy3sxc04ccblrqxbmvperiqg0k,48:09.9,SHAKIRA SONG WAKA WAKA﻿,0
z130dbmz2ourjtupz04chhjrpunwcr4yjrs0k,19:08.0,Can we reach 3 billion views by December 2014? ﻿,0
z12at1g5dtmlf5ui304chtvhknbfcbiylqc0k,25:16.0,Come subscribe﻿,1
_2viQ_Qnc69GH3FQl348HonbRxpbmtsR5CUei0zkJog,30:46.7,"O peoples of the earth, I have seen how you perform every form of evil at your leisure! You cease not from reveling in that which I hate! Behold, you murder the innocent day and night and plot evil against your neighbor! You stand up for the rights of those who commit abomination and clap your hands as wickedness is celebrated openly in the streets!... O MOST PERVERSE AND ABOMINABLE GENERATION, SHALL I NOT REPAY?!  Hear the Word of The Lord - TrumpetCallOfGodOnline.  co m",1
z12hxjxqlu2bifvq204cgbggameftpswvfw,05:25.0,"""....because I AM a champion...and you're gonna hear me roar!""   Today I AM my own champion  Today I AM a champion for the Creator  Today I AM doing positive in my world Today I AM blessing and healing all around me Today I AM successful and  creating success  ﻿",0
z12tzpcjazigvrodo22dubixisqhfxtuo,41:29.8,"I love this-the talents of eminem and Skylar,works well together﻿",0
z12isnmj3wuovj4tt22stv0x1kblzls1w,48:14.0,Check out this playlist on YouTube:﻿,1
_2viQ_Qnc6_1Hq9MGlefkBIszt9rYD3S_CozADvMhQ4,44:00.7,well done shakira,0
z13qgpqwlqbgj5jqy04cgnjqruv0gpdaino0k,25:48.0,"i am 2,126,492,636 viewer :D﻿",0
z12jutrbiwf4x3mn4224ht3bsn3bwrfqz04,37:59.8,Eminem rap can be easy for a boy but I can do that﻿,0
z12xtnzbxomaglq4k04cfzpwiovxizj5l5o,36:45.9,Eminem is my insperasen and fav﻿,0
z13fhbspolbawj5tn22bsbw5ynvlt1kku,33:53.2,"This Will Always Be My Favorite Song<br />But My Favorite Part Is <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=3m40s"">3:40</a>-<a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=4m11s"">4:11</a> In The Video ﻿",0
z13suboizyjhsvsg004cj3iypry3hjewpss0k,07:42.4,wait I SAW A KID NOT KIDDING﻿,0
z13zt31xrsrvcxtsz23dgvob4y21t3ppt04,44:51.4,I love you  ;p﻿,0
z13qw3ahhwftv3tnd23tihhxvlr0erteu,27:50.0,Please Subscribe In My Channel →﻿,1
z12zer0p2uaowfzqu04ccnczoyyryjj5u1s,13:36.0,If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,0
z13ye5lzknauy3ilv22nfbm5kyjgdbo1h,36:51.0,Awesum song!! Jus luv it!﻿,0
z13ajrlbklm5jlxxt04cjx2rktq0y1kxmy40k,10:37.3,subscribe to my chanell﻿,1
z12ai5agdlawczj5x04cfhbr2vuezzvox1s,03:35.2,"Every collaboration between them, we know it will be number 1 ﻿",0
z13ye1jj0nmftp3bm04cetp5krufcxpyyg4,40:15.6,"Made five years ago and people still don&#39;t understand the message this song is conveying. For those of you who don&#39;t, understand that domestic violence is no game, women like the fictional one in this video do exist. Living their lives with a man who abuses her, but still chooses to stay for not the love, but for the sexual feeling he gives her. This is quite sad, actually. ﻿",0
z124dtzgsrbsw1kxh04cgpdjqlv3ghegsms0k,06:50.7,I love you Shakiria!!!!!!﻿,0
z12mx3zj3pqigd3nb23xtpzwnriczf0zo04,58:57.0,OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,0
_2viQ_Qnc69wycunZGebHhH3CnhNYYLjUzHrnXdzkV8,16:00.7,WAYS TO MAKE MONEY 50k Per Month Search google Now &gt;&gt; 9nl.me/make-money-without-investment-1,1
z13gxxlhyrmccf10422gdrogiwbjtfwjb04,23:47.7,Simply rap god﻿,0
z13heluw2l21yhgov04ce5h53u2mhz4joes,22:52.9,No one makes me wanna party like LMFAO does... I just wanna rage every time one of these songs comes on. The only other band that does that is &quot;On the Rocks Inc.&quot; those kids know how to party﻿,0
z13zgnsz3qnac3xp204ci1kzyveqyfkz12o,59:57.7,Check out this video on YouTube:<br /><br /><br /><br />﻿,1
z125vphj5u3vw5rya04ch5eatpnwjjsg2u00k,23:47.2,Good video﻿,0
z12lxpco5rekcfhem23zgptr3lijs3njg04,52:51.1,Check out this playlist on YouTube:﻿,1
z12gwldoxpvgjru4004cj3fxyvvvwffjqjg,37:08.0,http://hackfbaccountlive.com/?ref=5242575﻿,1
z12bdbbiyljvspiop04cgxpzmz3fgn2zppw0k,27:31.4,No-I hate The Way U LIe!!﻿,0
z13qfn5yusqoslnn222dutdw4yqmhzhej,57:56.4,"It makes me happy instantly, and makes me forgot everything bad happening!﻿",0
z13ihroixyvmzvl2h22kclthlnmmxtggl04,33:16.0,PLEASE VOTE FOR ME FOR THE WET SEAL MODEL 2015 CONTEST! MY INSTAGRAM  USERNAME IS destinyforever_  http://www.wetseal.com/modelsearch15/modelsearch15.html﻿,1
z13jsrtahyyqv53jc04cdr4bcwfwg3lauek,34:19.0,#2012bitches﻿,0
z134ejc5qo2tinqb404cezl4ayq5cprwoqw0k,03:08.2,Party rock! XD﻿,0
_2viQ_Qnc69vjtRxop92H6OWpxKYZu4Mokxff2OzDKE,42:09.0,This Song will never get old,0
z13hhvtojxzvyl3oc04ci5pzaqjpynz5nvo0k,40:24.1,"OH SHIT THIS WAS UPLOADED ON MY BIRTHDAY, finally my birthday isnt a curse, because on this day maylaysia airlines went missing, so i thought my birthday was a curse xD﻿",0
z12ufpawowzutdgvb22gsdiatyi4xf4xq04,20:53.5,is that Megan fox﻿,0
z12kuncrps35wp1l0220s3t4ym32dtpin04,35:49.0,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0
z12ji3wbxwivep2zu04cglfrtxvdg3dwzzc0k,02:30.0,i like this song because of all the animals and i like this song .﻿,0
z121fvtbjuq0endru04cfjfofknoyteh3jk,52:58.7,Wanderfol is love or miusic﻿,0
z132g5pqsr3wi3x5s04cerbyxuipctqg0hk,57:17.2,"I don&#39;t understand this song, I have had the passion for women feel like im losing my mind but i don&#39;t understand the ideas of loving the the way someone lies.....﻿",0
_2viQ_Qnc6-M2Gjq_TCThUeRGBbSNsclbeFll-ETDD8,42:21.9,:),0
z12sixzbalueu5irr04chv1yhpy4t5ky31g,43:49.0,The great mother of the jungle. Sweet and natural. I like her videos.﻿,0
_2viQ_Qnc6-G71VMp3dR76dfQTcrRHpiNXJh2jm8V_M,50:26.9,"Hi -this is Johnny: 1. If You already know my music - thumb this up, because You found it this way, too. 2. If You want to hear original songs completely made by 1 person, continue reading:  I sing, write original music+lyrics &amp; play guitar, bass, drums &amp; keyboards. I&#39;m a 1-man-band. My music is completely independent &amp; 100% listener-supported. If You want to hear it &amp; if You&#39;re willing to help record new album - click on my name/picture.  Thank You &amp; enjoy the music - wish You awesome day!",1
z130wtjzpzjvzdtrf04cd5e4zpehgro5eoo0k,09:13.7,"Haha, I can&#39;t believe how many kids listen to Eminem.  You kids know that he does drugs and ends high in jail. I wonder why he never ended OD. ﻿",0
z13rfjuxmtm3vd2eb23qi1brgq3ic5nxv04,40:57.5,THUMBS UP FOR ROBO GUY BABY﻿,0
z13gy34yyoexwhe2k23bwbb45pmoynthn04,53:49.8,LOVE TROP FORT VOTRE  clip﻿,0
_2viQ_Qnc684Wob4j6dbLPeYzFG8ZB3h1sgfYm4SDsI,13:18.5,like!!!!!,0
z130vjpadznpiv44x04cgd1ooljghlzg0es,45:26.0,"Hello all 29.24% earth population of the world, hope your having a great  day :)﻿",0
z12uwpdgeqnex5wwi04cjlkotmfeuv54zzk0k,06:08.8,LMFAO!!!!!!!!﻿,0
z13jgncbqw2cwjroj04cfxjisoyrsj2z4kw0k,48:27.2,Check out this playlist on YouTube:Central ﻿,1
z13zhhualofpyz22z22pydei0oeyt5abc04,50:18.0,😫😓😏😪😔😖😌😭😎😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😣😮😴😢😡😠😬😕😑😐😯😉😈😇😆😅😄😃😂😁😀😊☺  every single types of face on earth﻿,0
_2viQ_Qnc6-UzHByAP8y3BxG633jelEC_fxtFRUvLSA,41:00.6,Love this song!!!,0
z132wd4ywmicxj2gn04cdfhilyryjhmjhk00k,23:41.2,Eminem is idol for very people in España and Mexico or Latinoamerica﻿,0
z13fwnbh5qusx1olr23bcfgjbxiljjv4u04,04:01.0,Watch Maroon 5's latest 2nd single from V (It Was Always You) www.youtube. com/watch?v=TQ046FuAu00﻿,1
z13wtxlwqlfizpaiq04cixs4eon3ez5xeaw,33:18.8,"the views...... They&#39;re over 90,000!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿",0
z13cehkhxmugujbdh23ehzcijlfhcr4h204,15:08.3,Love Song﻿,0
z13fzxyw3q3bupy0w22oc3wrmu2qdtmu4,15:30.7,Gusttavo Lima Você não me conhece <br />Check out﻿,1
z13bchrxcyruufz4004chdjrzobevxc45ug0k,55:07.5,This song is so beauty,0
z12jy5544qedxbgfq235ufyqbxqkzxbjl04,52:14.9,Eminem rocks!﻿,0
z13lutxw3tnfj3fgg04cfrwgolm1ftzp2ug0k,11:56.2,i want to be that robot guy...﻿,0
z12ywjvgdtrhxdlz504cd1tquqvuhbs4abw,27:09.0,"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !﻿",1
z13fzxmg0si1cpsc323silmpnpuasflls,28:25.9,PARTY ROCK (8) ~﻿,0
z122sdu5jnnwsr0kf23aghaz5rnkijtkl,46:20.0,"When I hear Katy singing this, I cry. The song has got depth.﻿",0
z13wtn0o5ueli5m4b04cdjnjqzb5xftz4hw,17:09.7,i hate rap﻿,0
z13lgrngavanillud22bxz05tpe0endag04,13:23.4,I wish that guy wasn&#39;t so protective geeze﻿,0
z12bjffg3yu4ybx4e04cjzfbyxqcdzyxl3s,59:54.0,If she really did this there she's hardcore﻿,0
z12czbcjtzzjxfz5p04cffk5xsztwvsrop00k,10:35.0,Glad to know im not the only one who knows its katheryn's birthday today :)  happy birthday katy...and my sister. (they seriously have the same  birthday...)﻿,0
z13sh3cz1kbqgrai504cf53qsq25ypmi5zs0k,35:38.0," Something to dance to, even if your sad JUST dance!!   PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿",0
z13iijhzqwz4gxek122ugd3bllbks1011,33:15.0,Y LOVE YOU﻿,0
z13derchioqxifr1m22pztjgvwuewvtz404,50:38.0,How old is Katy perry?﻿,0
_2viQ_Qnc694tFwvOhmFcrz4GGaxVyxStdYmFH-nR68,15:05.3,I want new song,0
z13gdjzydor2enadz23ezhxpyxilvrtak04,53:59.3,I love the way you lie﻿,0
z122wjt5wsi3xt25304cg1yrnxuxyluayuk0k,17:19.1,Man this song really does get in your bones - one minute I&#39;m nearly dosing off to sleep - the next I&#39;m shuffling like crazy with hot feet XD﻿,0
z125trmyqrbaijwhf04cctobjlq4ixy4gz00k,02:25.6,BEST SONG! GO SHAKI :D﻿,0
z12fy55oxki3u1ryi04cjprhawawcvkzivo0k,15:50.6,subscribers please`﻿,1
z12xczhjizrzuhvlp22gh3apkrasg3ggt04,27:45.0,GANGMAN STY- *D-D-D-D-D-D--DROP THE BASS!!*﻿,0
z13it35hwti1uf0ea22ju5dxoyqiubdso,21:54.4,It was  cool   the best   song ever  ﻿,0
z120ubqoukjxu1ktp22xfvexvyu3xzkbv04,52:41.6,I like how the robot shuffles he shuffles good﻿,0
z12ddjvqypyusrssu22ewddagoagu1k2v,59:28.0,katy perry will u sit on my face please. it would be really awesome and  i'll give you 5 dollars. ok if you want to do this then please call me and  subscribe to my channel first ok thats good and then u sit on my face and  ill get an erection then you sit more k?﻿,1
z13tc1brnvvpxtd3i225u5djckjntpniz04,43:52.0,"I loved, she is amazing.. OMG your eyes*_*﻿",0
z12aczswnozdwrfnj22usfnxymiaylupi04,49:18.8,She looks like Megan Fox 😂 xD!!﻿,0
z12xe1uw2sv3i1dm322nhrcazuitt3cjv04,45:16.0,"You are all sheep, period. This is terrible music.﻿",0
z13oyf1ben2sezqq504ci1i4ktees5aw0oc0k,15:41.3,subscribe me plzzzzzzz plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz﻿,1
z13oxvzqrzvyit00322jwtjo2tzqylhof04,33:26.0,Waka waka ﻿,0
_2viQ_Qnc6-qHJ_u9Yv84vj4yOAPLUL3ZibCc7b-vBI,06:57.7,I WILL NEVER FORGET THIS SONG IN MY LIFE LIKE THIS COMMENT OF YOUR HEARING THIS SONG FOR LIKE A YEAR!!!!!,1
z12jdvqjrquct3bdj22yizigauehxj4ew,56:53.1,Amazing song﻿,0
z12pxz2gvtrzfntqz04chluidzjvtr0yf04,40:48.1,Just gonna stand there and hear me cry ..﻿,0
z12ldxsqzsvvwf5h404cjh5ooxincztrles,03:15.7,Anyone else think this video theme is a bit of an insult to 28 days later? ﻿,0
z12vxdc50rqhilm4304cc3rrlyejfbgb0cs,24:57.7,likeeeeeeeee﻿,0
z13yu32w3mrltv3qk04cjztj2wmos54qfss0k,38:50.0,I hate it when Laura Bennett comes in﻿,0
z12xizopmzbch3dje04cibrzbqi2x54ptgk,20:41.4,lol so funny love it﻿,0
z132xfsy4pz5uvyxh04ce50xez2ki53ysaw,39:51.8,Whose who are watching this in 2015.  LIKE!﻿,0
_2viQ_Qnc68fX3dYsfYuM-m4ELMJvxOQBmBOFHqGOk0,57:25.1,so beutiful,0
z12nippylqvqshgqb04cdbgywx3kcxhgfug0k,56:40.1,please suscribe i am bored of 5 subscribers try to get it to 20!﻿,1
z13durcjdm23ifwo204cfxhzawawsrmps24,51:54.2,Love this song﻿,0
z12kstz4owbggv12p230vpcwntjbyrqim04,09:29.0,She is fit﻿,0
z13fehihaneyzh3wp04cfxrwkyfkwvgoex00k,28:49.5,"mindblowing dance.,.,.superbbb song﻿",0
z13hxdr5uvbsintfz22uddk4imbkcp20h,36:42.7,i was born in the wrong generation﻿,0
z13mgxsztmn1hpam223tcxbglvi2wpx4o04,24:34.1,never gets old﻿,0
z13iwppp5kf4gnyxn04cjns5kzn4xd0qdwk0k,59:13.0,i hate this music. fucking singer and every koean chainise ana US sucks me dick.﻿,0
z123gnabnwbqtr1e022jejij0zzzez2os04,38:10.0,"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿",0
z13yydnzzta0frsum23rx31imxmdfn4t3,35:58.7,Why did they stop their career in music? This music rocks !﻿,0
z12lsp3pnmqlirwwk04cepijkvrustgbcgs,38:47.0,P E A C E  &amp;  L O V E  ! !﻿,0
_2viQ_Qnc6_JXmouLzw0-ItjbZCiPZjIwo__lIyDsj8,21:59.3,Shakira :-*,0
z13mzp44ul21sdqcj22sgriokxyuy5det,49:21.0,It is 0 zero﻿,0
z12kcfcxyvb1cxhls220s3g4jlrtuppxg04,14:28.4,In my head this is like 2 years ago.. Time FLIES﻿,0
z13vyd3ofqi4vjute22mhjbaqxf2dvjql04,11:36.0,*KATY YOU ARE A SHIT GO DIE!!!!!ROAR IS A FLOOOOOOOOOOOOOOOOOOOOP*﻿,0
_2viQ_Qnc69BVRuBYCJ6ik7gdMwTiBRS9DDnTjNs-Gg,08:07.8,"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1
z13qe1myote4hhwox04chrdxbv30dhraerc0k,36:41.0,For all of the little kidz out there there is Like 7 to 8 Billon people on  earth NOT 7 to 8 MILLON.Get you facts straight before posting comments.﻿,0
_2viQ_Qnc6-LyNEXRld9VERRpRICrMPNxpnGjL8ZsF4,02:09.9,"Hey youtubers... I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the music world. I dont have any money to advertise my channel, If you could just visit my channel, comment on my video or subscribe, that would be great.... It will only be few seconds of your life..... Thank u to all the people who just gave me a chance l really appreciate it  ",1
z13ucxa51rnftvu2j22if5oihq2qipjlp,08:37.0,i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,0
z12iircxtsjpwvqbd04chjzbemjtj5kohxg0k,05:40.0,The most liked video on YouTube...﻿,0
z13nshrbexf5xnur204cjvtimtu0xrnwm4o,12:17.6,sexy shakira﻿,0
z13gcjvh2naxyvshh04cjldgtpnyfrdylq40k,15:39.9,I lover this song,0
z131uxqp3qawzxohf04ce3njbzawyjyhbuw0k,13:20.5,old and good song﻿,0
z13xgr1w3oeycnszq04cihybwtimi3vqc40,48:31.0,OMG over 2 billion views!﻿,0
z12tuvbodnn5ipp3o22mxnarfnnrxbq4z04,47:02.9,Very nice,0
z12wu1hapwjnvdrwe04cdj4ogu31cpjgnbw,06:50.8,I remember that torunament like it was today.﻿,0
z12xyzfbixyuxf5wm04ccn2inoiyevdqwgo,32:21.7,charlieee :DDDD (Those who saw Lost only will understand)﻿,0
z13nw3lhgt2nf5wwe04cdlx5iyaydznrve0,15:22.0,"This song is great there are 2,127,315,950 views wow﻿",0
z12bfraboyajftgbz04ccbkr3xjxfxyxsew,25:22.3,"coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y﻿",1
z13tudczpxi5j1eun22zudooymblxxeup,10:42.1,Memories﻿,0
z121hxvwrz35e1udw22lh5objyf1wxefn,54:08.0,cool cool cool cool cool cool cool﻿,0
z12aillowmuftn5l022cv3hwbofjctgch,55:39.0,The Guy in the yellow suit kinda looks like Jae-suk ﻿,0
z13ttr3z1kybet3io04cfv2icvbtj3ro120,17:34.5,XD I WAS GOING CRAZY FUCKIN CRAZY WATCHIN THIS BRAH﻿,0
_2viQ_Qnc69saopRmKcZavlgi69aQhlFsDzUkMqZ1xQ,30:37.1,WOw,0
z132i1cj3t2cedajp04cfxcqalbkfzd5fyk0k,07:33.8,Whose watching this in 2015. If so hi-5﻿,0
z13auhswxvj3vl1ms22nhpbbrmetc1kvx,58:40.0,I hate videos like these with those poor animals.﻿,0
z132sv1blzi0xhnld225vncq1niyyhrnr,00:01.2,I could hear this for years ;3﻿,0
z123wdtwhmnngjhat04cgtu5oyibstyopnw0k,48:06.9,thumbs up if you think this should have 1 billion views﻿,0
z12yvdxizlrze1osb22xev1xyxakdphe3,45:32.7,i remember this song!,0
z13gypjrmumhxromj23jyjhhenvdgpuxh04,16:55.0,You gotta say its funny. well not 2 billion worth funny but still. It  clicked and everything went uphill. At least you don't have JB's shit on  #1.﻿,0
z13ecbgzonmri3yjj04cj14ooragi1ij450,24:23.4,░░░░░░░/\░░░░░▄▐<br />░░░░░░/     \░░░▄██▄<br />░░░░░/  (o)   \░░░░░▀█▄<br />░░░░/             \░░░░░░▀█▄<br />░░░/__   \   ░▄▄▄▄▄▀▀<br />░░░░▄▄▄██▀▀▀▀<br />░░░█▀▄▄▄█░▀▀       YOU HAVE BEEN SPOOKED BY THE SPOOKINATI<br />░░░▌░▄▄▄▐▌▀▀▀<br />▄░▐░░░▄▄░█░▀▀    SHARE THIS TO 666 PEOPLE TO BE UNSPOOKED <br />▀█▌░░░▄░▀█▀░▀ <br />░░░░░░░▄▄▐▌▄▄<br />░░░░░░░▀███▀█░▄<br />░░░░░░▐▌▀▄▀▄▀▐▄<br />░░░░░░▐▀░░░░░░▐▌<br />░░░░░░█░░░░░░░░█<br />░░░░░▐▌░░░░░░░░░█<br />░░░░░█░░░░░░░░░░▐▌﻿,1
z13oyfkydl30exyip04cejozdtahgvx44ao,21:29.0,gofundme.com/grwmps﻿,1
z13uffbajziyw5cfp23bwbw5auytzdl5b04,03:25.0,I think he was drunk during this :) x)﻿,0
z13tuhgotq3ifrl0423uwx35trelwdwdd,52:43.0,looooooooooooooooooooovvvvvvvvveeeeeeeeeeee ittttttttttttt﻿,0
z13duz4apzezupvmy22agxwikzizhrah304,48:51.6,my favorite song﻿,0
z13xwborhli2vdrab04chblgxvjattz4ezs0k,42:40.0, I hate this song! ﻿,0
z13uu5dyinf2yplb504civzz5obby5baucg,17:57.0,Subscribe to my channel <br />Tweet &amp; Follow me on twitter //therealterrell_ <br />And I will follow you back 👀﻿,1
z13osfmj5m2kj1cb504cjrdbyvzijtu4gtk0k,23:30.3,I like the music...but is anyone listening to the lyrics?﻿,0
z12kx35bmpbiez0kp22qxrrrrzecznnw004,48:11.0,I hav absolutely no idea what he's saying. Is it even a language?﻿,0
_2viQ_Qnc68WY7dYEqu0Gx6d1pRcC1S2JCkyKwPxBEE,31:01.4,god she is so sexy! drives me crazy!,0
z12uyzyjxtysunbmn235efxoisv3ena4q04,05:28.5,Me and my aunt love this song!!!!!﻿,0
z12wzpww1rnqwjq0223dd5gofvzbwjqth,56:04.0,I LOVE YOU KATTY PERRY &lt;3 ﻿,0
z13pc5zgykaetdf2123zhdra5orhjx2k5,54:45.9,OOOOO SHUFFLLLLLLLLLLLLLLLLLLLLLLINNNNN﻿,0
z12wwjbpsru3dnrkk22ec1qrjm2fzdmte,27:41.9,I heard this when I was only 6 years old and I still love it﻿,0
z12julhignjmuzlnv230yzipftzvhjzuh,36:16.9,Nice love itttttttt wurkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk﻿,0
z12ofn4qmkmadrykm22bw5dgns3cxjcrh04,58:53.9,Love😘❤💖﻿,0
z133sxsrnzbuwbe2o22iizkhvyicd5z0t,12:59.1,Never gets old best song ever  ❤﻿,0
z13zety5rwintlwlp23jtf5gxtalhlqrx04,19:53.6,this is the 2nd most best song when im gone by m&amp;m﻿,0
z13dd1easxeqvnjxj04cerrianuqvzhyh3g,22:25.8,LOVE THE WAY YOU LIE ..&quot;﻿,0
z13zv3phsxnput04k04cdnkw4svghdnas4c,33:03.0,Will this song ever reach 7 Billion Views?﻿,0
z121tz2zhzjgercem23yttsqvnuijljql04,17:17.0,"katy perry does remind me of a tiger,like as if its her spirit animal :3 &lt;3﻿",0
_2viQ_Qnc6_eMN0NwT5paySjJPFbN5xI9W8C1Bwoq1U,59:17.5,Subscribe to my Youtube Channel!! :) Suscribite a mi canal de Youtube -WhatUKnow,1
z131xnjjtqeyh5dy304cfhm50vagttfyemg0k,39:08.0,OPPA &lt;3﻿,0
z13egzvw2peys54lo221i3zxjxucfbski,21:46.4,this song sucks﻿,0
z12kvdhbglbuyzmrh04cjzbronnafhhqayw0k,42:24.8,Check out this video on YouTube:﻿,1
z13lvh1qnma4d15sy23lyvqq5riafz52m,44:52.6,Awesome ﻿,0
z13yd544duyufvy1h22mhplzskveejjl3,12:17.8,Omg it&#39;s going to have 1bi views!﻿,0
z12agrbxiwabvrb2g22pfpcqys2eyrwbd04,10:45.7,What nicei⛺♥♥♥♥﻿,0
z13qel3p2qaoexzhh04cjxniunrpzrtjro40k,36:04.5,Shakira﻿,0
