,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
10,20,RL,67.0,8308,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,Stone,20.0,1,3,CBlock,3,3.0,1,4,132,2,841,115,1088,GasA,2,Y,SBrkr,1088,0,0,1088,0.0,0.0,1,0,2,1,1,4,Typ,0,0.0,Detchd,2002.0,1,2.0,520.0,3.0,3.0,P,0,0,0,0,0,0,0,0,NA,0,6,2007,COD,Normal,110000
11,30,RL,50.0,9340,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,6,1941,1950,Hip,CompShg,MetalSd,MetalSd,None,0.0,1,2,CBlock,3,3.0,1,3,344,1,0,328,672,GasA,2,Y,SBrkr,672,0,0,672,1.0,0.0,1,0,2,1,1,4,Typ,0,0.0,Attchd,1941.0,1,1.0,234.0,3.0,3.0,N,0,113,0,0,0,0,0,0,NA,0,8,2009,WD ,Normal,113000
12,60,RL,58.0,9487,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,2,PConc,4,3.0,1,6,520,1,0,395,915,GasA,4,Y,SBrkr,940,750,0,1690,1.0,0.0,2,1,3,1,1,7,Typ,1,3.0,Attchd,2000.0,2,2.0,442.0,3.0,3.0,Y,0,50,0,0,0,0,0,0,NA,0,6,2007,WD ,Normal,187000
13,70,RL,80.0,16560,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,8,1932,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,2,BrkTil,4,3.0,1,3,503,1,0,449,952,GasA,2,Y,SBrkr,1170,1175,0,2345,0.0,0.0,2,1,4,1,1,9,Typ,1,4.0,Detchd,1932.0,1,2.0,360.0,3.0,3.0,Y,0,0,0,0,0,0,0,0,NA,0,7,2006,WD ,Normal,239000
14,50,RM,68.62270742358079,7758,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,7,4,1931,1950,Gable,CompShg,Stucco,Stucco,BrkFace,600.0,1,1,PConc,3,3.0,1,2,224,1,0,816,1040,GasA,4,Y,FuseF,1226,592,0,1818,0.0,0.0,1,1,4,1,1,7,Typ,2,3.0,Detchd,1951.0,1,1.0,240.0,3.0,3.0,Y,0,0,0,0,184,0,0,0,NA,0,6,2007,WD ,Normal,169500
15,20,RL,68.62270742358079,12155,Pave,NA,IR3,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,1Story,6,3,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,1,2,CBlock,4,3.0,1,2,1237,1,0,420,1657,GasA,3,Y,SBrkr,1657,0,0,1657,0.0,1.0,2,0,3,1,1,7,Typ,1,3.0,Attchd,1970.0,1,2.0,484.0,3.0,3.0,Y,0,0,0,0,147,0,0,0,NA,0,3,2007,WD ,Normal,163500
16,60,RL,98.0,12328,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Fam,2Story,8,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,Stone,146.0,2,2,PConc,5,3.0,2,6,986,1,0,163,1149,GasA,4,Y,SBrkr,1164,1377,0,2541,1.0,0.0,3,1,4,1,3,10,Typ,1,4.0,BuiltIn,2005.0,3,3.0,729.0,3.0,3.0,Y,120,32,0,0,0,0,0,0,NA,0,7,2007,WD ,Normal,349265
17,60,RL,80.0,10400,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,5,1972,1972,Gable,CompShg,VinylSd,VinylSd,None,288.0,1,2,CBlock,3,3.0,1,3,247,1,0,485,732,GasA,3,Y,SBrkr,1012,778,0,1790,1.0,0.0,1,2,4,1,1,8,Min2,1,3.0,Attchd,1972.0,2,2.0,484.0,3.0,3.0,Y,148,0,0,0,147,0,0,0,NA,0,11,2006,WD ,Normal,165150
18,45,RL,55.0,5500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Unf,4,6,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,0.0,1,2,CBlock,3,3.0,1,1,0,1,0,882,882,GasA,4,Y,SBrkr,882,0,0,882,0.0,0.0,1,0,1,1,1,4,Typ,0,0.0,NA,1978.3773873185637,0,0.0,0.0,0.0,0.0,Y,0,0,0,0,0,0,0,3,NA,0,4,2007,WD ,Normal,103200
19,75,RM,53.0,5350,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,7,8,1920,1965,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,1,2,BrkTil,3,3.0,1,4,116,1,0,508,624,GasA,4,Y,SBrkr,730,720,0,1450,0.0,0.0,1,0,3,1,1,7,Typ,0,0.0,Detchd,1935.0,1,1.0,288.0,3.0,3.0,Y,0,192,0,0,0,0,0,3,NA,0,3,2008,WD ,Normal,132000
20,50,RM,60.0,8520,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,7,1916,1950,Gable,CompShg,Stucco,Stucco,None,0.0,1,3,BrkTil,3,3.0,1,3,168,2,546,0,714,GasW,2,N,SBrkr,1664,862,0,2526,0.0,0.0,2,0,5,1,2,10,Typ,1,4.0,Detchd,1916.0,1,1.0,216.0,3.0,3.0,Y,88,15,0,0,0,0,0,2,NA,0,8,2007,CWD,Family,136000
21,60,RL,68.62270742358079,9765,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,8,1993,1993,Gable,CompShg,VinylSd,VinylSd,BrkFace,68.0,3,3,PConc,4,4.0,1,5,310,1,0,370,680,GasA,3,Y,SBrkr,680,790,0,1470,0.0,0.0,2,1,3,1,1,6,Typ,1,3.0,BuiltIn,1993.0,3,2.0,420.0,3.0,3.0,Y,232,63,0,0,0,0,0,0,Shed,480,4,2009,WD ,Normal,185000
22,30,RM,56.0,3153,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1920,1990,Gable,CompShg,MetalSd,MetalSd,None,0.0,1,2,BrkTil,3,3.0,1,1,0,1,0,967,967,GasA,3,Y,SBrkr,967,0,0,967,0.0,0.0,1,0,2,1,1,5,Typ,1,4.0,Detchd,1920.0,1,1.0,180.0,2.0,3.0,N,0,0,26,0,0,0,0,0,NA,0,7,2007,WD ,Normal,99900
23,190,RH,68.62270742358079,7082,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,2fmCon,2Story,5,8,1916,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,2,PConc,3,3.0,2,1,0,1,0,686,686,GasA,3,Y,SBrkr,948,980,0,1928,0.0,0.0,2,0,5,2,1,10,Typ,0,0.0,NA,1978.3773873185637,0,0.0,0.0,0.0,0.0,N,0,0,228,0,0,0,0,0,NA,0,7,2006,WD ,Normal,160000
24,20,RL,65.0,11479,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,7,1950,1987,Gable,CompShg,Wd Sdng,Plywood,None,0.0,1,2,CBlock,3,3.0,1,6,104,3,387,172,663,GasA,4,Y,SBrkr,1074,0,0,1074,1.0,0.0,1,0,3,1,2,6,Typ,1,3.0,Attchd,1987.0,1,1.0,467.0,3.0,3.0,Y,0,52,52,0,0,0,0,3,NA,0,6,2010,WD ,Normal,144500
25,80,RL,62.0,7692,Pave,NA,Reg,Bnk,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,SLvl,4,6,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,2,CBlock,5,3.0,3,1,0,1,0,416,416,GasA,3,Y,FuseA,1204,0,0,1204,0.0,0.0,1,0,3,1,1,6,Typ,0,0.0,Basment,1954.0,1,1.0,312.0,3.0,3.0,Y,0,0,0,0,0,0,0,0,NA,0,11,2008,WD ,Abnorml,100000
26,120,RL,34.0,3903,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,1Story,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,182.0,2,2,PConc,4,3.0,3,5,1030,1,0,272,1302,GasA,4,Y,SBrkr,1302,0,0,1302,1.0,0.0,1,1,1,1,2,5,Typ,1,4.0,Attchd,2005.0,2,2.0,631.0,3.0,3.0,Y,110,50,0,0,0,0,0,0,NA,0,5,2007,WD ,Normal,200000
27,60,RL,105.0,15578,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3.0,1,1,0,1,0,728,728,GasA,3,Y,SBrkr,728,728,0,1456,0.0,0.0,2,1,3,1,1,8,Typ,0,0.0,Attchd,2006.0,2,2.0,429.0,3.0,3.0,Y,0,0,0,0,0,0,0,0,NA,0,5,2006,New,Partial,172785
28,20,RL,62.0,70761,Pave,NA,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1975,1975,Gable,WdShngl,Plywood,Plywood,None,0.0,1,2,CBlock,4,3.0,4,5,655,1,0,878,1533,GasA,2,Y,SBrkr,1533,0,0,1533,1.0,0.0,2,0,2,1,2,5,Typ,2,3.0,Attchd,1975.0,1,2.0,576.0,3.0,3.0,Y,200,54,0,0,0,0,0,0,NA,0,12,2006,WD ,Normal,280000
29,20,RL,63.0,12680,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1988,1988,Gable,CompShg,Plywood,Wd Sdng,BrkFace,102.0,2,2,CBlock,4,4.0,2,6,983,1,0,692,1675,GasA,4,Y,SBrkr,1688,0,0,1688,1.0,0.0,2,0,2,1,3,6,Typ,1,5.0,Attchd,1988.0,2,2.0,528.0,3.0,3.0,Y,0,48,0,0,141,0,0,0,NA,0,6,2008,WD ,Normal,226500
30,20,RL,114.0,14803,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,PosN,1Fam,1Story,10,5,2007,2008,Hip,CompShg,CemntBd,CmentBd,BrkFace,816.0,3,2,PConc,5,3.0,3,6,1636,1,0,442,2078,GasA,4,Y,SBrkr,2084,0,0,2084,1.0,0.0,2,0,2,1,3,7,Typ,1,4.0,Attchd,2007.0,3,3.0,1220.0,3.0,3.0,Y,188,45,0,0,0,0,0,0,NA,0,6,2008,New,Partial,385000
31,60,RL,118.0,35760,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,10,5,1995,1996,Hip,CompShg,HdBoard,HdBoard,BrkFace,1378.0,2,3,PConc,5,3.0,4,6,1387,1,0,543,1930,GasA,4,Y,SBrkr,1831,1796,0,3627,1.0,0.0,3,1,4,1,2,10,Typ,1,3.0,Attchd,1995.0,3,3.0,807.0,3.0,3.0,Y,361,76,0,0,0,0,0,0,NA,0,7,2006,WD ,Normal,625000
32,20,RL,100.0,15263,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,Feedr,Norm,1Fam,1Story,5,5,1959,1959,Gable,CompShg,HdBoard,HdBoard,BrkFace,90.0,1,2,CBlock,4,3.0,1,3,766,1,0,656,1422,GasA,3,Y,SBrkr,1675,0,0,1675,0.0,0.0,2,0,3,1,1,8,Typ,2,4.0,Attchd,1959.0,1,1.0,365.0,3.0,3.0,Y,0,132,0,0,0,0,0,0,NA,0,5,2010,WD ,Normal,173000
33,50,RL,60.0,10800,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,4,4,1949,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,1,2,CBlock,3,3.0,1,1,0,1,0,720,720,GasA,2,N,FuseA,720,472,0,1192,0.0,0.0,1,1,4,1,1,6,Typ,0,0.0,NA,1978.3773873185637,0,0.0,0.0,0.0,0.0,Y,0,0,0,0,0,0,0,0,NA,0,12,2006,WD ,Abnorml,135000
34,60,RL,68.62270742358079,9531,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,2,PConc,4,3.0,2,6,706,1,0,88,794,GasA,4,Y,SBrkr,882,914,0,1796,1.0,0.0,2,1,3,1,1,7,Typ,0,0.0,Attchd,1998.0,2,2.0,546.0,3.0,3.0,Y,0,36,0,0,0,0,0,3,NA,0,5,2007,WD ,Normal,211000
35,20,RL,68.62270742358079,11088,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,Stucco,Stucco,None,0.0,2,2,PConc,4,3.0,1,6,872,1,0,476,1348,GasA,4,Y,SBrkr,1358,0,0,1358,1.0,0.0,1,1,1,1,2,5,Typ,1,3.0,Attchd,2002.0,1,2.0,418.0,3.0,3.0,Y,68,166,0,0,0,0,0,0,NA,0,6,2006,WD ,Normal,220000
36,60,RL,80.0,11316,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,44.0,2,2,PConc,4,3.0,1,6,624,1,0,193,817,GasA,4,Y,SBrkr,824,1070,0,1894,1.0,0.0,2,1,4,1,2,8,Typ,1,4.0,BuiltIn,2002.0,3,2.0,510.0,3.0,3.0,Y,0,40,0,0,0,0,0,0,NA,0,2,2010,WD ,Normal,214900
37,20,RL,57.0,8280,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1950,1950,Gable,CompShg,BrkFace,BrkFace,None,0.0,1,2,CBlock,3,3.0,1,1,0,1,0,932,932,GasA,4,Y,FuseA,932,0,0,932,0.0,0.0,1,0,2,1,2,4,Typ,1,4.0,Attchd,1950.0,1,1.0,306.0,3.0,3.0,Y,0,0,214,0,0,0,0,4,NA,0,11,2007,WD ,Normal,124000
38,60,RL,75.0,8778,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3.0,1,1,0,1,0,1302,1302,GasA,4,Y,SBrkr,1302,528,0,1830,0.0,0.0,2,1,3,1,2,7,Typ,0,0.0,BuiltIn,2006.0,2,3.0,859.0,3.0,3.0,Y,0,40,0,0,0,0,0,0,NA,0,3,2007,WD ,Normal,221300
39,50,RM,50.0,6000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1948,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,2,CBlock,3,3.0,1,3,300,1,0,480,780,GasA,2,Y,SBrkr,780,636,0,1416,0.0,0.0,1,1,3,1,1,6,Typ,0,0.0,Detchd,1948.0,1,1.0,312.0,3.0,3.0,P,221,0,48,0,0,0,0,0,NA,0,3,2010,WD ,Normal,139900
40,90,RL,80.0,8000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,Duplex,1Story,5,4,1961,1961,Gable,CompShg,BrkFace,BrkFace,None,0.0,1,2,CBlock,3,3.0,1,1,0,1,0,1800,1800,GasA,4,N,SBrkr,1800,0,0,1800,0.0,0.0,2,0,6,2,1,10,Typ,0,0.0,NA,1978.3773873185637,0,0.0,0.0,0.0,0.0,Y,0,0,0,0,0,0,0,0,NA,0,7,2007,WD ,Normal,141000
41,20,RL,68.62270742358079,8050,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,150.0,1,2,CBlock,3,3.0,1,4,856,3,162,125,1143,GasA,2,Y,SBrkr,1143,0,0,1143,1.0,0.0,1,0,3,1,1,6,Typ,0,0.0,Attchd,1959.0,2,1.0,308.0,3.0,3.0,Y,0,0,0,0,0,0,0,4,NA,0,5,2010,WD ,Normal,136000
42,30,RL,68.62270742358079,6615,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,6,6,1923,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,1,2,BrkTil,3,3.0,1,1,0,1,0,1022,1022,GasA,2,N,FuseA,1432,0,0,1432,0.0,0.0,1,0,3,1,2,6,Typ,1,4.0,BuiltIn,1923.0,1,1.0,216.0,2.0,3.0,Y,266,61,0,0,0,0,0,2,NA,0,9,2009,WD ,Normal,149000
43,75,RM,75.0,13500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,PosA,1Fam,2.5Unf,10,9,1893,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,BrkTil,3,3.0,1,1,0,1,0,1237,1237,GasA,3,Y,SBrkr,1521,1254,0,2775,0.0,0.0,3,1,3,1,2,9,Typ,1,4.0,Detchd,1988.0,1,2.0,880.0,4.0,3.0,Y,105,502,0,0,0,0,0,0,NA,0,7,2008,WD ,Normal,325000
44,20,RL,60.0,8281,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,CompShg,MetalSd,MetalSd,None,0.0,1,2,CBlock,3,3.0,1,3,553,4,311,0,864,GasA,3,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,3,1,1,5,Typ,1,,Detchd,1965.0,1,1.0,360.0,3.0,3.0,Y,0,0,236,0,0,0,0,2,NA,0,12,2009,WD ,Normal,62383
45,50,RL,60.0,11100,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1951,1994,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,2,PConc,3,3.0,2,2,1080,1,0,0,1080,GasA,2,N,SBrkr,1080,400,0,1480,1.0,0.0,1,0,4,1,1,7,Typ,1,4.0,Attchd,1951.0,1,1.0,253.0,3.0,3.0,Y,0,0,68,0,0,0,0,0,NA,0,7,2007,WD ,Normal,136500
46,60,RL,82.0,9942,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Gable,CompShg,MetalSd,MetalSd,BrkFace,385.0,3,2,PConc,5,4.0,3,6,1290,1,0,316,1606,GasA,4,Y,SBrkr,1625,466,0,2091,1.0,0.0,2,1,3,1,3,8,Typ,1,4.0,Attchd,2005.0,2,2.0,521.0,3.0,3.0,Y,194,84,0,0,0,0,0,0,NA,0,5,2006,New,Partial,338500
47,60,RL,68.62270742358079,9019,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,2Story,6,5,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,2,PConc,4,3.0,1,5,274,1,0,362,636,GasA,4,Y,SBrkr,636,684,0,1320,0.0,0.0,2,1,3,1,2,6,Typ,0,0.0,Attchd,1994.0,3,2.0,472.0,3.0,3.0,Y,0,40,0,0,0,0,0,0,NA,0,7,2006,WD ,Normal,150000
48,160,RM,24.0,2368,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,5,6,1970,1970,Gable,CompShg,HdBoard,HdBoard,None,312.0,1,2,CBlock,3,3.0,1,2,765,1,0,0,765,GasA,2,Y,SBrkr,765,600,0,1365,0.0,0.0,1,1,3,1,1,7,Min1,0,0.0,Attchd,1970.0,1,2.0,440.0,3.0,3.0,Y,0,36,0,0,0,0,0,0,NA,0,5,2009,WD ,Normal,125000
