visits,total_sales,credit_card,sales_product_category_1,sales_product_category_2,sales_product_category_3,sales_product_category_4,sales_product_category_5,sales_product_category_6,sales_product_category_7,sales_product_category_8,sales_product_category_9,sales_product_category_10,sales_product_category_11,sales_product_category_12,sales_product_category_13,sales_product_category_14,sales_product_category_15,sales_store_1,sales_store_2,sales_store_3,sales_store_4,sales_last_3_months,sales_last_month,sales_last_6_months,sales_last_year,margin,promos,days_on_file,days_between_purchases,markdown,crossbuy,coupons,individual_items,stores_visited,phone_on_file,online_shopper,attempts,conversions,product_uniformity,days_between_visits,customer_type,returns,conversion
5,191.89,0,0.65,0.0,0.0,0.0,0.1,0.0,0.07,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.89,15.0,0.0,0.0,0.0,0.0,74.96,0.07,11,403,80.6,0.3,5,0,12,3,Y,0,4,0,47.36,16.79,23,0.0,0
1,162.0,0,0.0,0.0,0.0,0.33,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,162.0,0.0,0.71,8,567,567.0,0.0,2,0,2,1,Y,0,5,0,55.55,189.0,16,0.0,0
3,323.95,1,0.25,0.05,0.0,0.17,0.0,0.31,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,323.95,0.0,0.0,0.0,274.95,0.0,0.64,5,305,101.66,0.14,5,1,11,2,Y,0,1,0,42.41,43.57,34,0.05,0
1,84.99,0,0.0,0.0,0.0,0.34,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.99,0.0,84.99,0.0,84.99,0.0,0.53,3,441,441.0,0.22,2,0,2,1,Y,0,0,0,55.04,110.25,1,0.0,0
1,313.89,0,0.78,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.0,313.89,0.0,0.0,0.0,0.0,0.0,0.38,11,284,284.0,0.25,4,0,16,1,N,0,4,0,64.7,284.0,4,0.0,0
3,101.96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.96,0.0,101.96,0.0,101.96,0.0,0.22,11,481,160.33,0.32,1,0,4,2,N,0,1,1,100.0,68.71,1,0.0,0
7,630.17,1,0.07,0.0,0.0,0.18,0.16,0.18,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.005363000000000001,0.0,0.0,528.75,101.42,0.0,182.98,144.0,630.17,0.0,0.42,14,540,77.14,0.34,9,1,28,4,Y,0,9,2,11.01,7.2,12,0.33,1
1,45.48,0,0.0,0.0,0.0,0.23,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.48,0.0,0.0,0.0,0.0,0.0,0.16,6,274,274.0,0.3,2,0,2,1,N,0,1,0,64.5,45.66,1,0.0,0
1,140.4,1,0.56,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.4,0.0,0.0,0.0,0.0,0.0,0.58,16,337,337.0,0.24,2,0,4,1,Y,0,6,0,50.82,337.0,11,0.0,0
2,108.0,0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,108.0,0.0,108.0,0.0,108.0,0.0,0.71,18,560,280.0,0.0,3,0,3,2,Y,0,10,0,40.94,80.0,38,0.91,0
6,491.32,1,0.42,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.05,0.03,0.0,0.12,0.0,392.32,99.0,0.0,161.37,161.37,161.37,99.0,0.52,21,591,98.5,0.21,11,1,26,3,Y,0,8,2,23.01,25.69,10,0.32,1
1,345.98,0,0.17,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,345.98,0.0,0.0,0.0,0.0,0.0,0.66,15,418,418.0,0.0,3,0,3,1,N,0,6,1,49.84,83.6,25,0.0,1
2,144.0,1,0.79,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.1,65.9,0.0,0.0,0.0,0.0,0.0,0.31,15,702,351.0,0.44,2,0,8,2,Y,0,4,0,67.01,63.81,15,0.0,0
2,196.25,0,0.22,0.0,0.0,0.0,0.0,0.3,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,108.75,87.5,0.0,0.0,0.0,137.25,0.0,0.6,5,276,138.0,0.18,3,1,6,2,Y,0,2,0,45.81,92.0,35,0.0,0
1,176.93,0,0.11,0.0,0.0,0.18,0.16,0.0,0.0,0.08,0.0,0.44,0.0,0.0,0.0,0.0,0.1,0.0,0.0,176.93,0.0,0.0,0.0,0.0,0.0,0.02,22,240,240.0,0.4,6,0,7,1,Y,1,10,0,28.93,26.66,25,0.0,0
5,280.16,1,0.08,0.17,0.0,0.36,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.12,0.0,0.04,0.0,0.0,236.92,43.24,0.0,88.97,0.0,255.42,24.74,0.5,12,677,135.4,0.32,9,2,19,2,Y,0,7,4,21.18,21.15,8,0.0,0
5,489.5,1,0.2,0.0,0.06,0.06,0.26,0.0,0.06,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.0,142.0,347.5,0.0,0.0,0.0,0.0,293.0,0.64,18,585,117.0,0.14,12,0,16,2,Y,0,9,2,12.72,53.18,16,0.15,0
12,1195.51,1,0.53,0.02,0.03,0.02,0.08,0.03,0.11,0.02,0.0,0.0,0.0,0.03,0.07,0.003982,0.0,0.0,0.0,1000.44,195.07,143.11,44.97,755.09,225.0,0.52,23,672,56.0,0.26,17,4,54,2,Y,0,9,5,31.55,19.76,14,0.0,1
2,118.8,0,0.0,0.08,0.0,0.0,0.33,0.0,0.21,0.06,0.13,0.0,0.0,0.0,0.0,0.17,0.0,0.0,80.98,37.82,0.0,83.38,83.38,83.38,0.0,0.41,0,426,213.0,0.22,6,0,7,2,N,0,0,0,21.6,71.0,45,0.0,0
66,5333.89,1,0.21,0.05,0.05,0.05,0.14,0.05,0.03,0.03,0.07,0.01,0.03,0.02,0.06,0.01,0.02,0.0,1162.31,4086.38,85.2,816.91,470.61,2649.03,517.4,0.42,21,633,9.59,0.35,31,6,241,6,Y,1,10,8,9.94,4.3,1,0.09,1
15,402.06,1,0.06,0.009362,0.0,0.16,0.14,0.05,0.16,0.07,0.05,0.0,0.0,0.0,0.004615,0.0,0.0,0.0,0.0,59.47,342.59,14.99,0.0,19.49,9.99,0.26,24,421,28.06,0.32,14,0,31,5,Y,0,7,2,9.24,9.56,28,0.32,1
1,225.5,0,0.09,0.0,0.08,0.0,0.68,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.5,0.0,0.0,0.0,0.0,0.0,0.4,5,215,215.0,0.3,6,0,7,1,Y,0,1,0,49.62,215.0,48,0.0,0
3,176.96,0,0.11,0.0,0.03,0.23,0.38,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.96,0.0,0.0,0.0,19.99,0.0,0.56,6,627,209.0,0.1,6,0,6,2,Y,0,0,0,26.98,104.5,8,0.0,1
4,452.3,1,0.04,0.0,0.0,0.0,0.23,0.0,0.0,0.1,0.33,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,452.3,0.0,0.0,0.0,430.3,0.0,0.68,23,453,113.25,0.08,6,1,9,2,Y,1,9,2,33.32,45.3,35,0.0,0
19,1627.75,1,0.22,0.03,0.17,0.18,0.14,0.08,0.07,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.05,0.0,0.0,1627.75,0.0,60.66,0.0,728.1,0.0,0.58,18,371,19.52,0.2,16,3,59,1,Y,0,6,3,15.58,8.06,23,0.04,1
2,102.99,0,0.2,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,84.99,18.0,0.0,0.0,0.0,0.0,0.0,0.6,2,650,325.0,0.15,3,0,3,2,Y,0,5,1,45.82,130.0,8,0.0,0
6,629.41,0,0.28,0.0,0.0,0.0,0.15,0.1,0.0,0.0,0.06,0.16,0.0,0.22,0.0,0.0,0.0,0.0,0.0,561.45,67.96,0.0,0.0,172.95,240.97,0.56,12,614,102.33,0.19,9,0,19,6,N,0,9,5,19.84,30.7,35,0.0,1
1,534.6,1,0.06,0.0,0.0,0.04,0.38,0.2,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.09,0.0,0.0,534.6,0.0,534.6,0.0,534.6,0.0,0.66,0,37,37.0,0.1,6,1,7,1,Y,0,0,0,29.37,18.5,15,0.0,0
3,495.93,1,0.35,0.0,0.0,0.12,0.29,0.12,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.99,171.43,303.51,0.0,371.98,0.0,371.98,0.0,0.59,14,581,193.66,0.12,6,1,13,3,Y,0,7,0,25.52,18.15,11,0.0,1
1,207.0,0,0.0,0.0,0.0,0.23,0.47,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,207.0,0.0,0.0,0.0,0.0,207.0,0.69,3,319,319.0,0.0,3,0,3,1,N,0,0,0,94.86,319.0,28,0.0,0
9,1173.29,1,0.18,0.08,0.05,0.05,0.0,0.07,0.03,0.0,0.05,0.0,0.0,0.01,0.21,0.06,0.07,3.52,807.92,361.85,0.0,521.35,361.98,902.32,0.0,0.6,22,671,74.55,0.18,20,3,60,7,Y,0,10,6,11.32,14.91,13,0.19,0
7,731.13,1,0.0,0.02,0.13,0.22,0.24,0.07,0.02,0.12,0.12,0.0,0.0,0.0,0.02,0.0,0.0,0.0,26.54,318.7,385.89,34.98,0.0,311.91,0.0,0.59,6,242,34.57,0.09,12,2,22,4,Y,0,2,0,16.81,11.52,4,0.0,1
20,830.89,1,0.14,0.0,0.03,0.07,0.09,0.0,0.03,0.08,0.01,0.07,0.0,0.12,0.07,0.02,0.0,0.0,202.06,628.83,0.0,221.35,96.4,387.85,75.1,0.23,21,609,30.45,0.49,24,1,60,3,Y,0,9,4,7.32,11.27,41,0.27,1
1,466.91,1,0.1,0.05,0.0,0.06,0.05,0.19,0.0,0.27,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.96,199.95,0.0,0.0,0.0,466.91,0.0,0.56,16,592,592.0,0.06,7,0,14,2,Y,0,8,1,19.92,49.33,11,0.0,0
2,137.96,0,0.0,0.19,0.07,0.13,0.28,0.0,0.1,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.96,0.0,137.96,85.0,137.96,0.0,0.22,6,456,228.0,0.47,6,0,9,1,Y,0,1,0,19.75,114.0,2,0.0,0
7,964.18,1,0.27,0.01,0.06,0.06,0.06,0.03,0.13,0.18,0.0,0.11,0.0,0.008297,0.04,0.0,0.05,0.0,0.0,964.18,0.0,0.0,0.0,256.99,383.74,0.54,21,653,93.28,0.22,15,2,29,2,Y,0,10,3,15.93,32.65,5,0.0,1
5,294.01,1,0.43,0.0,0.04,0.09,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.69,220.32,0.0,0.0,0.0,23.58,0.0,0.52,20,478,95.6,0.25,6,2,16,2,Y,0,9,2,22.25,20.78,20,0.36,1
5,249.97,1,0.19,0.04,0.0,0.43,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,112.97,137.0,0.0,0.0,0.0,66.98,0.0,0.5,17,638,127.6,0.19,6,0,12,2,Y,0,6,1,29.65,53.16,16,0.0,1
1,187.48,1,0.14,0.09,0.31,0.0,0.0,0.0,0.31,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.74,58.74,0.0,187.48,0.0,187.48,0.0,0.53,11,463,463.0,0.28,5,2,10,2,Y,0,7,1,24.56,92.6,32,0.0,0
4,400.98,1,0.0,0.07,0.13,0.0,0.0,0.0,0.38,0.08,0.0,0.0,0.0,0.0,0.16,0.0,0.0,308.48,0.0,92.5,0.0,0.0,0.0,400.98,0.0,0.65,5,142,35.5,0.13,7,1,16,2,Y,0,1,0,20.84,17.75,4,0.2,0
1,59.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99,0.0,0.0,0.0,0.0,0.0,0.38,19,271,271.0,0.0,1,0,1,1,N,0,7,0,100.0,271.0,10,0.0,0
21,1475.33,1,0.12,0.01,0.01,0.12,0.18,0.11,0.06,0.05,0.03,0.03,0.0,0.0,0.06,0.004903,0.06,0.0,76.8,1398.53,0.0,78.95,0.0,43.96,189.94,0.34,20,359,17.09,0.39,21,2,83,2,Y,0,6,2,9.84,11.21,25,0.24,1
2,92.28,1,0.26,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.26,0.1,0.0,0.0,0.0,92.28,0.0,0.0,0.0,0.0,37.79,0.5,8,314,157.0,0.39,4,0,6,1,Y,0,2,0,28.32,157.0,15,0.0,0
8,303.85,1,0.2,0.01,0.0,0.03,0.0,0.08,0.05,0.14,0.0,0.0,0.0,0.04,0.14,0.0,0.0,0.0,17.89,285.96,0.0,202.36,91.42,202.36,0.0,0.05,10,369,46.12,0.52,10,0,27,3,Y,0,5,1,9.71,21.7,11,0.37,0
15,437.64,1,0.18,0.03,0.0,0.21,0.09,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.12,0.04,0.0,0.0,0.0,437.64,0.0,66.88,61.99,182.69,117.49,0.36,25,695,46.33,0.34,12,1,32,1,Y,0,10,8,11.02,16.16,7,0.3,0
4,382.1,0,0.1,0.0,0.1,0.3,0.0,0.0,0.0,0.2,0.21,0.0,0.0,0.0,0.02,0.03,0.0,0.0,0.0,70.8,311.3,70.8,70.8,382.1,0.0,0.57,18,369,92.25,0.2,7,3,14,3,Y,0,7,3,20.81,24.6,22,0.0,1
9,544.79,1,0.08,0.03,0.00646,0.03,0.14,0.0,0.11,0.0,0.17,0.0,0.0,0.0,0.03,0.11,0.0,0.0,352.8,191.99,0.0,124.99,5.0,281.79,0.0,0.62,18,677,75.22,0.18,14,2,26,2,Y,0,10,5,9.3,18.29,1,0.42,1
1,49.99,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.99,0.0,0.0,0.0,49.99,0.0,0.5,16,519,519.0,0.0,1,0,1,1,Y,0,10,1,100.0,173.0,34,0.0,1
5,355.91,1,0.44,0.02,0.0,0.0,0.19,0.0,0.19,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.95,84.96,200.97,156.0,200.97,0.0,0.51,9,699,139.8,0.23,7,0,15,2,Y,0,0,0,29.23,34.95,38,0.0,0
18,1494.54,0,0.25,0.05,0.05,0.11,0.12,0.16,0.03,0.02,0.06,0.0,0.0,0.003439,0.0,0.01,0.06,0.0,1172.34,322.2,0.0,65.94,0.0,488.17,555.67,0.53,21,678,37.66,0.24,17,2,54,4,Y,0,11,9,14.03,12.79,16,0.08,1
7,361.68,0,0.27,0.04,0.0,0.06,0.07,0.14,0.14,0.0,0.09,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,361.68,0.0,0.0,0.0,71.98,0.0,0.53,15,338,48.28,0.15,10,0,15,3,Y,0,6,1,13.76,26.0,1,0.13,1
2,251.99,0,0.82,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.99,0.0,251.99,169.99,251.99,0.0,0.69,16,664,332.0,0.0,2,0,6,1,Y,0,10,0,71.17,94.85,5,0.0,0
1,78.99,0,0.37,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.99,0.0,0.0,0.0,0.0,0.0,0.52,4,287,287.0,0.15,2,0,2,1,Y,0,1,0,52.89,287.0,15,0.0,0
59,2011.82,1,0.12,0.02,0.01,0.02,0.08,0.01,0.05,0.02,0.0,0.0,0.1,0.0024649999999999997,0.005729,0.0,0.03,0.0,1914.57,97.25,0.0,0.0,12.77,425.14,118.72,0.45,23,557,9.44,0.32,20,10,84,6,Y,0,9,5,4.16,4.6,10,1.01,1
1,148.99,0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.99,0.0,0.0,0.0,0.0,148.99,0.59,11,315,315.0,0.0,2,0,2,1,Y,0,4,0,55.85,315.0,23,0.0,0
7,1776.56,1,0.12,0.01,0.02,0.11,0.17,0.16,0.05,0.15,0.08,0.0,0.0,0.004455,0.01,0.02,0.0,0.0,6.02,1770.54,0.0,681.87,606.0,855.86,427.48,0.57,31,688,98.28,0.18,19,2,52,2,Y,0,11,7,11.99,26.46,10,0.04,1
1,157.47,0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.47,0.0,0.0,0.0,157.47,0.0,0.48,8,148,148.0,0.25,2,0,3,1,Y,0,1,0,52.83,148.0,12,0.0,0
2,163.18,1,0.36,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,163.18,0.0,0.0,0.0,0.0,0.0,0.56,20,476,238.0,0.09,4,0,7,2,Y,0,10,1,34.66,119.0,15,0.0,0
18,1303.43,0,0.21,0.07,0.0,0.02,0.15,0.06,0.21,0.15,0.02,0.0,0.0,0.0,0.0,0.00432,0.0,0.0,1210.2,93.23,0.0,76.52,19.99,545.74,77.24,0.56,15,516,28.66,0.16,13,2,45,4,Y,0,10,7,15.23,14.74,10,0.06,1
4,252.28,1,0.31,0.19,0.08,0.21,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.98,8.0,232.3,0.0,252.28,116.11,252.28,0.0,0.19,1,51,12.75,0.57,6,1,23,3,Y,0,0,0,19.96,1.15,4,0.11,1
2,195.45,0,0.46,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.45,0.0,118.95,0.0,118.95,0.0,0.48,4,606,303.0,0.28,4,0,7,1,Y,0,5,0,37.45,67.33,3,0.0,0
3,127.96,0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.96,0.0,0.0,0.0,127.96,0.0,0.49,7,440,146.66,0.08,3,0,3,1,Y,0,1,0,38.23,110.0,43,0.0,0
2,687.98,0,0.0,0.0,0.3,0.1,0.26,0.15,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.98,0.0,0.0,0.0,687.98,0.0,0.65,13,681,340.5,0.03,7,1,16,2,Y,0,4,1,19.87,136.2,16,0.08,0
3,379.36,1,0.0,0.04,0.14,0.36,0.07,0.0,0.06,0.0,0.18,0.0,0.0,0.0,0.0,0.05,0.0,0.0,101.11,278.25,0.0,117.5,117.5,91.4,0.0,0.48,7,185,61.66,0.3,7,0,16,2,Y,0,2,1,20.21,5.28,10,0.06,1
1,123.16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.16,0.0,0.0,0.0,0.0,0.0,0.53,23,677,677.0,0.0,3,0,3,1,Y,0,6,0,58.4,84.62,8,0.29,0
9,847.93,1,0.07,0.07,0.05,0.004279,0.17,0.04,0.08,0.0,0.14,0.0,0.0,0.01,0.05,0.004621,0.0,0.0,665.06,182.87,0.0,47.08,0.0,847.93,0.0,0.58,11,640,71.11,0.16,14,3,30,6,Y,0,8,2,7.72,16.84,23,0.37,1
1,76.97,0,0.0,0.0,0.0,0.27,0.45,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.97,0.0,0.0,0.0,0.0,0.0,0.37,4,260,260.0,0.3,3,0,3,1,Y,0,1,0,35.53,260.0,11,0.0,0
12,648.46,1,0.22,0.05,0.03,0.09,0.05,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,519.9,128.56,0.0,291.04,48.0,291.04,52.49,0.4,20,685,57.08,0.32,16,1,46,5,Y,0,10,3,8.74,15.22,40,0.57,0
8,561.97,1,0.32,0.07,0.04,0.02,0.0,0.08,0.09,0.0,0.02,0.15,0.0,0.01,0.04,0.01,0.0,0.0,87.26,474.71,0.0,51.55,0.0,284.52,171.99,0.47,15,678,84.75,0.28,16,2,27,4,Y,0,7,4,15.98,26.07,16,0.09,0
5,756.94,0,0.06,0.0,0.09,0.13,0.1,0.07,0.0,0.16,0.18,0.0,0.0,0.05,0.08,0.0,0.0,0.0,0.0,756.94,0.0,121.0,121.0,599.97,0.0,0.54,16,455,91.0,0.17,13,0,29,1,Y,0,10,1,12.01,50.55,39,0.03,0
7,625.25,1,0.12,0.0,0.0,0.11,0.27,0.0,0.02,0.17,0.12,0.0,0.0,0.0,0.05,0.0,0.27,0.0,607.75,17.5,0.0,0.0,0.0,202.0,19.99,0.62,16,391,55.85,0.14,8,1,19,2,Y,0,6,2,23.49,26.06,10,0.1,1
7,1750.05,1,0.04,0.01,0.009498999999999999,0.17,0.28,0.06,0.05,0.009771,0.04,0.0,0.1,0.04,0.07,0.01,0.05,0.0,1690.06,59.99,0.0,0.0,0.0,533.84,0.0,0.63,15,573,81.85,0.07,22,2,48,4,Y,0,9,2,14.68,30.15,12,0.05,0
5,652.86,1,0.35,0.0,0.06,0.1,0.21,0.05,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,604.88,47.98,0.0,47.98,0.0,68.97,347.0,0.47,23,693,138.6,0.24,9,1,19,2,Y,0,10,3,22.81,43.31,23,0.0,1
2,138.98,0,0.0,0.0,0.0,0.35,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,138.98,0.0,0.0,0.0,138.98,0.0,0.65,3,125,62.5,0.0,3,0,3,1,Y,0,0,0,33.75,41.66,43,0.0,0
2,196.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.71,12,363,181.5,0.0,3,0,3,1,N,0,4,0,107.02,181.5,23,0.0,0
5,1033.54,1,0.0,0.0,0.01,0.39,0.18,0.16,0.01,0.0,0.15,0.0,0.0,0.06,0.0,0.0,0.29,0.0,821.85,211.69,0.0,494.97,226.0,1033.54,0.0,0.59,5,129,25.8,0.16,10,1,28,5,Y,0,1,1,33.12,1.63,4,0.0,1
7,702.94,0,0.25,0.04,0.0,0.04,0.38,0.04,0.12,0.0,0.0,0.0,0.0,0.01,0.01,0.07,0.0,0.0,0.0,253.0,449.94,25.0,0.0,218.03,0.0,0.59,17,556,79.42,0.02,11,0,23,5,Y,0,5,2,23.65,32.7,4,0.0,1
3,863.32,1,0.28,0.0,0.0,0.08,0.18,0.05,0.16,0.0,0.06,0.12,0.0,0.02,0.01,0.0,0.05,0.0,0.0,863.32,0.0,0.0,0.0,397.49,264.0,0.53,18,312,104.0,0.31,12,2,20,1,Y,0,7,1,17.55,44.57,10,0.0,0
3,1082.22,1,0.16,0.05,0.0,0.07,0.35,0.13,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1082.22,0.0,164.45,0.0,396.42,0.0,0.62,4,187,62.33,0.1,7,0,26,1,Y,0,2,1,21.77,8.13,16,0.0,1
