This file was created by CMPT_IND_RETS using the 201112 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
193510   7.28   8.99   5.58   6.11   2.36
193511   2.29   3.41   7.95   1.69  13.23
193512   2.49   6.94   1.41   2.53   4.26
193601   1.68   8.71   5.21   3.66  12.00
193602   1.65   2.68   3.67   3.19   2.93
193603   3.14   2.02  -1.87   3.78  -2.95
193604  -6.50  -8.91  -7.04  -9.08  -7.27
193605   4.30   4.61   5.96   4.87   7.53
193606   4.96   1.65   1.98   1.36   1.78
193607   4.03   7.35   6.78   4.92   9.55
193608   0.75   0.63   2.12  -1.47   1.80
193609   2.29   1.31  -0.42   0.73   0.92
193610   5.44   8.74   5.37   3.75   8.13
193611   3.98   3.31   4.62   3.36   0.46
193612  -5.18   3.40   1.02  -2.02  -1.21
193701   3.54   3.71   3.73   3.31   1.05
193702   0.87   1.56  -2.22  -3.90   4.69
193703  -2.67   1.18  -3.31  -5.02   2.62
193704  -6.84  -7.82  -6.41  -3.34  -6.71
193705  -2.49   0.05   1.09   1.70  -3.37
193706  -5.36  -3.50   0.03  -4.04  -8.94
193707   8.80   9.79   6.29   4.13   8.67
193708  -3.08  -5.57  -3.66   1.12  -8.41
193709 -11.30 -15.63  -7.94 -10.77 -15.86
193710  -8.64 -10.92  -6.22  -3.58 -10.16
193711 -11.01  -8.70  -3.94  -5.14  -6.78
193712  -7.25  -2.87  -1.82  -2.07  -6.57
193801   5.99  -1.23  -2.49   3.52   0.49
193802   4.81   8.23   0.61   8.69   4.87
193803 -20.15 -24.72 -22.21 -14.37 -29.74
193804  13.88  14.07  14.90  11.73  14.46
193805  -2.91  -5.56  -0.86   1.71  -3.92
193806  20.96  27.61  18.86   9.97  24.88
193807  10.86   6.21   3.34   5.73   9.92
193808  -0.77  -4.30  -0.37   0.37  -3.82
193809   0.29   1.40   1.25  -0.03  -1.28
193810   6.21   8.18   6.63   5.52  11.28
193811  -1.62  -1.76  -1.86   1.46  -2.00
193812   1.90   5.19   2.83   0.86   6.40
193901  -4.14  -7.34  -2.66  -0.93  -8.74
193902   4.68   2.57   3.20   3.73   4.74
193903 -10.27 -13.35  -8.03  -4.36 -15.15
193904   0.40  -0.77   0.46   0.97  -1.85
193905   7.60   6.08   6.67   5.48   8.07
193906  -3.56  -5.88  -5.54   1.19  -7.70
193907  10.08  10.32   9.60   3.05  11.55
193908  -7.00  -5.91  -5.80  -5.38  -9.93
193909   8.97  23.56   6.49   7.03  25.76
193910   2.46  -2.42   1.29   0.19  -1.63
193911  -1.81  -5.50  -0.55   1.22  -4.99
193912   3.63   2.87   3.23   3.80   2.33
194001  -0.76  -3.46  -1.87  -1.82  -2.66
194002   1.32   1.78   0.35   1.50   0.85
194003   2.78   1.57   1.96   1.89   2.64
194004   0.70   0.35  -0.38  -0.31  -0.81
194005 -23.12 -22.35 -16.83 -21.25 -23.87
194006   7.03   6.17   6.50   4.94   8.55
194007   2.97   3.45   3.11  -0.53   3.42
194008   3.48   1.75   1.04  -2.29   2.88
194009   2.86   1.93   2.64   4.65   2.49
194010   0.72   4.46   1.93  -3.05   5.25
194011  -1.04  -2.45  -0.74  -1.83  -0.14
194012  -0.71   1.54   1.22  -0.22   0.26
194101  -4.04  -5.34  -2.29  -2.21  -1.58
194102  -1.75  -1.63  -1.52  -4.72  -0.32
194103   0.09   0.94   1.21   1.76   1.90
194104  -6.16  -4.38  -7.33  -5.27  -4.40
194105   0.29   3.30   0.08  -1.48  -0.92
194106   5.29   5.95   7.20   6.76   4.51
194107   4.92   7.98   0.44   8.01   7.37
194108   1.80  -1.50   0.95   0.07   0.12
194109   2.07  -2.35  -0.16  -0.21  -2.58
194110  -6.73  -4.26  -5.71  -3.70  -4.11
194111  -3.29  -0.54  -3.30  -2.94  -1.64
194112  -7.52  -3.38  -5.08  -1.49  -5.50
194201   2.49  -1.57  -0.44  -3.13   9.43
194202  -1.64  -3.37  -1.37  -5.41  -1.92
194203  -5.40  -6.80  -6.69  -5.65  -9.01
194204  -4.47  -4.14  -5.80  -4.47  -2.00
194205   9.96   3.63   7.78  14.80   3.45
194206   2.68   3.61   0.57   2.85   1.93
194207   2.75   3.36   3.33   1.51   6.58
194208   1.74   1.85   1.65   2.22   2.41
194209   0.73   3.23   3.38   0.25   3.31
194210   3.87   8.14   6.17   4.05   8.63
194211   2.76  -1.24   2.41   1.57  -1.96
194212   5.14   5.84   2.78   8.80   4.30
194301   7.37   7.37   6.46   2.25   7.21
194302   4.71   6.19   6.31   3.79   9.52
194303   5.68   6.24   3.64   4.40   9.93
194304   1.01  -0.32   2.78   1.25   2.22
194305   6.73   5.43   5.30   5.02   5.52
194306   3.58   1.26   2.43   0.48  -0.80
194307  -4.50  -4.94  -3.44  -3.08  -5.09
194308   2.33   0.90   0.64   0.29   1.37
194309   2.21   2.38   3.15   3.94   2.22
194310  -1.34  -1.07  -1.14   0.50  -1.10
194311  -4.62  -6.65  -3.83  -3.98  -7.85
194312   6.57   6.51   5.27   3.76   7.17
194401   2.37   1.27   0.72   0.33   4.46
194402   1.29  -0.04  -0.45  -2.60   2.08
194403   3.26   2.06   2.03   2.48   2.66
194404  -1.51  -1.69  -1.18  -2.33  -2.38
194405   6.19   5.06   3.16   5.65   4.29
194406   6.87   4.80   5.10   3.89   5.86
194407  -1.88  -1.49  -1.04  -1.32  -0.82
194408   3.30   1.05   1.21   0.84   0.40
194409   0.47  -0.27  -0.15   0.36   0.13
194410  -0.76   0.51   0.82   1.19   0.69
194411   1.90   1.25   1.08   0.39   4.32
194412   2.92   4.34   2.52   1.65   8.41
194501   1.18   3.75  -0.82   0.39   0.60
194502   5.36   6.91   4.66   4.39   7.86
194503  -3.56  -4.71  -1.91  -1.85  -3.60
194504   8.27   8.09   5.15   6.41   8.87
194505   2.91   0.41   2.79   4.13   2.99
194506  -1.23   0.26   0.42  -4.68   4.35
194507  -1.10  -2.74   0.36  -1.62  -5.40
194508   8.40   5.90   5.35   9.30   2.47
194509   4.96   4.99   2.64   6.57   6.06
194510   4.44   3.87   1.57   6.39   5.72
194511   4.08   5.87   3.02   8.62   9.00
194512   1.86   0.73   1.48   1.27   0.11
194601   7.01   5.97   4.15   7.61   7.55
194602  -5.84  -5.62  -5.11  -4.14  -6.22
194603   6.39   7.28   1.61  14.71   4.63
194604   4.37   5.55   1.52  14.91   1.56
194605   3.47   4.28   3.90   5.58   3.57
194606  -5.64  -3.34  -2.38  -5.50  -3.30
194607  -2.37  -2.35  -1.66  -3.14  -4.99
194608  -6.49  -6.18  -6.87  -3.22  -6.64
194609 -10.28  -9.45  -7.14  -7.02 -14.32
194610  -1.48  -1.07  -4.09  -0.28  -0.20
194611  -2.26   1.30  -0.06   1.64   0.37
194612   4.76   5.89   4.23   7.40   2.78
194701   3.83   0.28   2.97  -5.35   0.50
194702  -0.03  -1.25  -2.06  -4.21  -1.49
194703  -2.31  -0.61  -2.28  -1.28  -3.43
194704  -6.20  -3.89  -2.50  -8.46  -6.32
194705  -1.06  -0.71  -0.76  -2.62  -1.79
194706   7.30   6.16  -0.03   4.23   3.28
194707   4.72   3.70   3.47   2.60   5.96
194708  -1.88  -1.24  -1.90  -3.83  -3.17
194709  -0.46  -0.59   0.99  -2.62  -0.97
194710   2.19   3.42   0.95   1.22   1.00
194711  -2.01  -1.74  -1.59  -3.04  -1.97
194712   0.93   4.47   1.44   3.10   3.67
194801  -3.38  -4.69  -2.69  -8.23  -0.87
194802  -5.26  -4.37  -2.46  -3.53  -4.09
194803   6.43   9.35   6.31   6.33   9.88
194804   2.22   5.14   1.03   2.14   3.24
194805   8.75   7.02   7.53   6.78   6.77
194806  -1.04   0.90  -0.51  -2.19  -0.80
194807  -4.25  -5.66  -4.11  -4.25  -4.97
194808   1.01  -0.44   1.51  -1.90   1.53
194809  -3.01  -3.04  -1.67  -3.08  -3.42
194810   5.02   7.22   3.89   5.19   4.96
194811  -7.31 -10.68  -5.64  -5.74 -10.58
194812   1.67   4.08   3.58   4.54   2.87
194901   2.49  -0.51  -1.30   4.57   0.31
194902  -2.79  -3.18  -2.22  -0.93  -3.17
194903   3.59   4.38   3.50   5.50   4.89
194904  -2.35  -1.34  -2.66   0.24  -1.54
194905  -0.59  -3.69  -3.70  -1.88  -2.67
194906   1.91  -0.39   0.64   2.16  -1.37
194907   6.02   5.84   4.48   6.00   4.19
194908   2.66   3.44   0.87   0.19   1.45
194909   2.56   3.66   2.36   1.86   3.40
194910   2.71   3.68   2.77   3.38   2.44
194911   2.83   1.32   2.74   4.81   1.21
194912   5.85   4.34   5.27   8.70   7.17
195001   1.09   1.47   3.21   1.06   3.19
195002   1.67   1.29   2.06   1.92   1.02
195003   0.11   1.92   3.46  -2.90  -0.68
195004   3.10   5.21   3.58   5.52   1.50
195005   3.62   6.19   1.07   3.96   1.36
195006  -4.81  -6.11  -6.17  -4.19  -6.79
195007  -0.94   2.81  -2.09  -6.94   7.49
195008   5.72   5.26   3.84   3.68   2.30
195009   6.99   4.19   2.17   6.16   6.52
195010   0.32   0.22  -0.63  -1.76  -1.52
195011  -0.70   4.65   1.18   4.68   3.94
195012   2.41   6.83   2.88   6.06  11.04
195101   5.63   6.03   4.82   3.10   6.40
195102   2.32   1.41   2.46   1.46  -0.41
195103  -1.20  -2.59  -1.00   1.70  -2.84
195104   1.56   7.12   2.03  10.41   3.74
195105  -2.78  -2.13  -1.63   1.57  -3.26
195106  -4.31  -1.77  -0.90   0.83  -5.11
195107   2.97   8.92   4.20  14.46   7.39
195108   4.46   4.76   4.26  -1.43   3.46
195109   1.66   0.05   1.66  -1.82   3.58
195110  -2.70  -1.67  -3.78  -5.97  -3.62
195111   1.01   0.20   1.51  -0.48   2.11
195112   1.42   4.42   2.90   5.14   2.13
195201  -0.33   2.56  -0.76   0.65   3.32
195202  -1.59  -3.00  -1.99  -4.25  -1.58
195203   4.10   4.89   3.24   0.45   5.85
195204  -2.75  -6.27  -2.09  -5.50  -3.39
195205   2.98   3.80   1.99   2.52   2.94
195206   3.68   4.22   4.00  -0.96   4.02
195207   1.70   1.03   0.82  -4.38   1.14
195208   1.06  -1.46   0.34  -0.57  -0.14
195209  -1.45  -2.46   0.34  -4.09  -1.37
195210  -0.23  -0.57  -0.07  -1.49  -1.57
195211   5.59   5.80   6.58   7.22   7.27
195212   3.59   3.18   1.98  -1.95   3.73
195301   0.93  -0.53  -0.68  -5.11   1.08
195302   0.16  -0.29   0.05   2.06  -0.22
195303  -2.68  -0.97  -0.59  -0.17  -1.44
195304  -0.93  -3.55  -0.70  -5.34  -3.21
195305   0.58   0.69   0.76  -0.04   1.44
195306  -2.25  -1.69  -0.78  -3.31  -2.05
195307   1.91   3.19   1.58   3.66   1.43
195308  -4.25  -4.53  -2.52   0.05  -6.77
195309  -0.11   0.25   2.50   0.42  -0.99
195310   3.06   5.59   4.12   2.66   3.69
195311   1.13   3.24   3.59   7.98   2.77
195312  -0.26   0.58   0.60  -1.34  -2.30
195401   4.23   5.58   4.30   5.65   6.64
195402   0.64   1.67   3.79  -0.19   1.54
195403   1.88   4.31   5.31   0.28   1.80
195404   2.21   5.03   5.69   1.20   2.87
195405   3.23   3.65   0.35   1.61   4.39
195406   1.26   0.09   5.45  -2.43   1.50
195407   6.92   4.95   1.72   8.21   6.83
195408  -2.19  -2.09  -3.15  -2.56  -2.26
195409   8.02   6.76   4.55   2.82   4.32
195410  -1.70  -1.88  -1.45  -1.62   0.59
195411   6.04  10.47   8.62  12.56  11.15
195412   4.88   6.00   2.40   6.12   9.36
195501   0.86   0.30   2.30  -2.88   0.89
195502   0.43   3.54   4.23   2.85   3.77
195503  -0.69  -0.01  -0.70   6.09   0.93
195504   4.10   2.88   3.89   0.02   3.43
195505   0.12   1.39   0.59   3.15   1.63
195506   5.96   8.76   1.85   0.17   2.37
195507   9.49   0.76  -0.27   0.13  -1.42
195508  -1.76   1.31  -0.71   0.15   0.57
195509   4.46  -0.94  -1.75  -3.17  -2.70
195510  -3.19  -2.12  -3.25   0.82  -2.60
195511   6.65   7.46   5.97   6.29   8.30
195512  -1.78   2.70   2.97   6.23  -0.65
195601  -4.55  -2.37  -1.96  -6.50  -2.76
195602   3.54   4.26   3.36   8.27   3.37
195603   2.28   8.35   6.29   7.26   5.70
195604  -2.55   1.44  -0.33   2.76   0.89
195605  -4.05  -5.52  -3.44  -1.23  -5.40
195606   3.87   3.69   4.50   3.60   1.55
195607   3.70   5.92   4.11   3.09   2.42
195608  -0.99  -3.66  -2.60  -3.07  -3.55
195609  -2.58  -5.67  -5.06  -3.68  -4.40
195610  -0.13   0.91   1.14   0.58   1.11
195611  -2.31   1.33   1.06  -1.30   0.22
195612   0.79   4.19   3.60   6.06   2.00
195701  -2.82  -4.10  -1.89  -2.27  -0.55
195702  -1.51  -2.22  -0.20  -0.35  -2.55
195703   1.19   2.35   3.26   8.22   2.30
195704   4.13   4.69   4.78   5.43   3.15
195705   1.45   4.54   3.72   4.79   1.36
195706  -0.61  -1.18   2.14   6.46  -1.10
195707   2.61   0.59   0.52   2.60   1.12
195708  -2.67  -5.55  -4.14  -2.98  -5.45
195709  -3.73  -6.51  -4.55  -3.04  -6.66
195710  -3.30  -4.47  -1.92  -0.68  -6.87
195711  -1.09   3.19   4.25   8.58   0.33
195712  -3.84  -4.25  -1.29  -0.48  -4.40
195801   6.58   4.31   4.13  -0.41  11.01
195802   0.47  -2.26  -0.62   4.95  -1.77
195803   3.68   3.61   1.97   8.17   2.51
195804   3.95   3.28   1.13   6.55   4.52
195805   3.77   2.06   1.77   1.44   3.75
195806   2.53   3.17   2.74   3.55   2.87
195807   5.20   4.64   2.48   5.97   5.27
195808   2.25   1.67   2.22   1.98   3.00
195809   6.60   3.96   5.69  11.72   4.42
195810   2.29   2.72   3.18   1.05   3.77
195811   3.43   2.62   3.40   8.03   4.63
195812   3.33   4.13  13.18   4.61   3.08
195901   1.67   0.79   0.36  -0.62   2.10
195902   0.88  -0.03   5.03   3.86   1.74
195903  -0.88   0.74   1.12   4.25  -0.71
195904   5.23   2.54   6.80  11.92   1.96
195905   3.22   1.79   2.37  -1.07   0.63
195906   1.08  -0.38  -1.01   6.59   1.41
195907   5.11   4.06   0.51   4.73   0.27
195908   1.07  -1.67  -1.20  -3.57  -2.22
195909  -3.41  -5.35  -2.81  -4.96  -4.11
195910   0.88   1.26   3.38   2.34   0.30
195911   0.92   1.22   4.76   5.62  -0.51
195912   3.18   2.67   3.78  -1.67   2.11
196001  -7.24  -7.09  -5.48  -6.38  -4.50
196002   1.10  -0.08   6.64   0.31  -0.02
196003  -2.15  -1.90   0.98   1.61  -2.26
196004  -0.16  -2.76  -0.16   1.65  -1.11
196005   2.86   1.61   6.88  13.72   0.25
196006   3.06   2.92   0.71  -0.16   2.84
196007  -1.41  -2.41  -2.45  -3.86  -1.46
196008   3.79   2.83   3.65   2.46   3.11
196009  -5.54  -5.06  -7.50  -8.71  -5.70
196010   0.18   0.01  -1.76  -3.49  -0.80
196011   4.94   4.24   5.75   4.04   6.68
196012   2.28   4.79   7.19   6.22   4.20
196101   5.63   7.06   5.19   6.05   7.78
196102   5.29   3.63   1.78   5.20   5.68
196103   4.63   1.65   4.96   3.80   3.54
196104  -0.92   0.86   0.63  -0.30   0.57
196105   3.00   2.95   0.99   2.28   4.18
196106  -0.92  -3.00  -3.65  -3.38  -3.75
196107   3.73   2.52   3.99   3.50   1.26
196108   3.46   2.19   2.41   3.86   5.22
196109   1.53  -3.62  -1.18  -1.23  -1.86
196110   4.04   2.68   1.89   3.66   2.32
196111   6.61   3.69   5.49   3.14   3.85
196112  -0.50   0.01   1.20  -1.99  -1.83
196201  -4.92  -2.40  -5.50  -4.78  -1.47
196202   0.05   2.72   1.95   3.75   1.72
196203  -0.04  -0.22  -1.33   0.41  -1.78
196204  -5.60  -5.59  -8.00 -11.33  -7.08
196205  -8.40  -7.89  -9.17 -10.78  -7.86
196206  -8.25  -7.20 -10.02 -12.89  -9.16
196207   6.00   5.69   9.20   7.78   5.75
196208   2.83   2.41   2.47  -7.92   3.81
196209  -4.66  -3.93  -7.45  -4.05  -5.74
196210  -0.65   0.33   1.34   2.47   0.56
196211   9.81  11.10  10.74  17.59  14.77
196212   1.81   1.65   0.45   0.88   1.37
196301   6.08   4.75   4.88   5.66   5.24
196302  -2.33  -1.93  -3.08  -2.58  -0.44
196303   4.09   3.78   2.34   1.18   2.95
196304   4.43   4.53   5.06   7.62   5.92
196305   4.47   1.18   1.78  -0.25   3.56
196306  -2.14  -1.10  -3.47  -1.09  -1.39
196307  -0.42   0.24  -0.42   0.57  -1.58
196308   6.00   5.03   4.61   9.56   5.36
196309  -0.41  -2.05   1.49  -4.07  -3.17
196310   5.97   0.96   5.31   3.38   1.37
196311  -3.15  -0.43   2.38  -1.65   0.10
196312   1.20   2.83   1.12   1.53   2.65
196401   1.38   3.07   3.17   3.70   1.16
196402   1.70   1.82   0.60   1.65   5.35
196403   1.99   2.05   0.81  -1.94   2.32
196404   1.35   0.62  -1.00  -1.42   0.32
196405   2.07   1.72   0.86   0.52   2.38
196406   1.72   1.10   2.99   0.58   1.31
196407   3.42   2.72  -1.93   4.76   1.23
196408   0.66  -1.17  -2.03  -4.22  -3.07
196409   3.50   3.60  -0.17   2.74   4.03
196410   0.52   1.30  -0.93   2.86   1.76
196411   0.45   0.85  -1.43   2.17  -1.63
196412   0.99  -0.37   1.86   4.38  -1.73
196501   4.27   3.57   3.11   7.66   4.75
196502   0.55   0.24   1.38   2.42   2.56
196503   0.16  -1.57  -1.18  -0.92  -0.38
196504   6.04   2.34   3.51   2.97   2.32
196505  -1.74  -0.21   1.79  -1.25  -1.53
196506  -6.17  -4.42  -4.82  -5.31  -6.96
196507   1.17   1.75   1.28   3.95   3.33
196508   3.33   2.41   3.26   6.29   5.08
196509   3.28   3.50   2.92   2.24   1.80
196510   3.78   2.96   1.07   3.23   4.12
196511  -1.26   0.70  -1.03   3.79   4.06
196512   1.38   1.62  -1.17   3.84   3.28
196601  -0.12   1.18  -0.02   2.74   5.22
196602  -1.26  -2.16   2.70  -1.55   2.03
196603  -2.69  -1.57  -2.87  -1.60  -2.58
196604   0.85   2.58   4.52  -0.01   3.02
196605  -6.12  -4.53  -4.61  -5.27  -7.77
196606  -2.01  -1.51   0.16   0.99   0.64
196607  -2.01  -0.72  -1.45  -1.71  -1.92
196608  -7.18  -7.62  -5.29  -8.09 -11.81
196609  -1.35   0.07  -1.27  -1.15  -1.90
196610   1.26   5.76   4.54   4.87   3.03
196611  -0.65   0.69   4.01   6.90   7.93
196612  -1.99   0.90   1.62  -0.18   2.13
196701  11.00   7.24   8.34   6.45  11.98
196702   0.92   0.27   4.29   1.40  -0.33
196703   3.71   4.34   4.35   7.86   4.40
196704   8.43   2.79   4.43   4.46   2.16
196705  -5.16  -3.36  -4.94  -5.28  -2.06
196706   2.45   1.52   4.84   5.41   3.48
196707   8.21   5.10  -0.38   3.79   7.90
196708  -0.08  -0.80  -1.10   0.65  -0.21
196709   3.74   2.86   5.62   2.90   1.32
196710  -2.93  -3.60   1.79  -5.02  -5.06
196711  -0.03   1.10   0.96   1.33  -0.40
196712   2.27   4.25   1.44   1.62   5.59
196801  -2.18  -3.71  -4.85  -6.58  -1.90
196802  -2.07  -3.31  -3.79  -4.24  -3.45
196803   1.23  -0.06   2.25   0.11  -0.30
196804  11.64   7.75   8.77  11.89  11.95
196805   2.43   2.18   2.29   3.35   6.21
196806  -0.04   1.71   0.00   2.23   3.03
196807  -3.85  -0.69  -3.79  -4.12  -2.80
196808   2.02   1.96   0.80   0.68   2.84
196809   6.34   3.52   2.95   0.84   9.27
196810   2.34   1.35  -2.13  -0.04   1.11
196811   2.81   6.21   7.44   8.11   7.72
196812  -3.20  -3.09  -5.81  -1.02  -3.66
196901  -1.37  -0.19  -2.63  -0.23   0.71
196902  -4.72  -5.32  -3.51  -5.16  -8.31
196903   3.61   3.32   3.31   3.34   0.74
196904   1.85   0.80   5.27   4.98   1.79
196905   0.59   0.75  -0.70   1.68  -1.22
196906  -6.29  -7.61  -1.56  -5.04 -10.66
196907  -7.35  -6.44  -5.08  -2.73  -9.10
196908   4.97   3.97   5.13   9.30   9.02
196909  -0.08  -4.79  -1.22   2.09  -0.70
196910   6.13   4.59   5.04   8.98   7.98
196911  -3.67  -4.12  -0.82   0.32  -5.53
196912  -2.79  -1.66  -2.31   4.30  -3.75
197001  -6.17  -7.90  -6.99  -7.12  -8.82
197002   5.19   5.56   4.61   5.60   9.42
197003   1.01   0.12  -0.91  -5.08  -1.91
197004  -9.93  -8.89 -12.38 -10.11 -13.67
197005  -7.66  -4.57  -7.41  -7.78  -8.23
197006  -3.16  -4.08 -10.51  -0.51  -6.83
197007   9.20   7.89   5.37   2.16   8.00
197008   5.02   5.17   5.80   1.80   5.13
197009   5.10   2.94   5.89   8.03   7.61
197010  -0.97  -0.86  -3.59   0.26  -5.90
197011   6.20   5.21   4.79   2.96   3.86
197012   6.35   6.03   5.28   5.37   8.36
197101   5.45   3.70   7.00   4.94   7.82
197102   3.17   1.58  -0.25   1.39   2.35
197103   4.74   3.47   5.45   3.68   5.96
197104   5.31   3.01   1.81   4.23   4.35
197105  -3.15  -3.22  -5.83  -2.10  -4.43
197106  -0.15   1.24  -1.10   2.02  -1.21
197107  -3.78  -3.66  -6.93  -2.25  -3.85
197108   6.65   2.63   3.61   3.27   7.01
197109   0.15  -0.86  -0.96   0.66  -0.43
197110  -4.36  -4.21  -3.49  -2.50  -4.20
197111   0.07  -0.69   1.30   0.58  -0.23
197112   8.86   9.35   9.95   7.90   8.21
197201   2.02   1.80   5.96   2.60   3.35
197202   3.59   3.00   1.34   7.13   2.25
197203   2.13  -0.17   0.66   0.46   2.34
197204   0.27   0.44   0.20   1.08   1.82
