This file was created by CMPT_IND_RETS using the 201112 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
194511    265    352     46     16    137
194512    265    352     46     16    137
194601    265    351     46     16    137
194602    264    351     46     16    137
194603    264    351     46     16    137
194604    264    351     46     16    137
194605    264    351     46     16    137
194606    263    351     46     16    137
194607    274    374     48     18    142
194608    273    374     48     18    142
194609    273    374     48     18    142
194610    272    374     48     18    142
194611    272    374     47     18    142
194612    272    374     47     18    142
194701    272    374     47     18    142
194702    272    374     47     18    142
194703    272    374     47     18    142
194704    272    374     47     18    142
194705    272    374     47     18    142
194706    272    374     47     18    141
194707    289    395     50     18    146
194708    289    395     50     18    146
194709    289    395     50     18    146
194710    289    394     50     18    146
194711    289    394     50     18    146
194712    289    394     50     18    146
194801    289    394     50     18    146
194802    289    394     50     18    146
194803    289    394     50     18    146
194804    289    394     50     18    146
194805    289    394     50     18    146
194806    289    394     50     18    146
194807    300    412     51     18    154
194808    300    412     51     18    154
194809    300    411     51     18    154
194810    300    411     51     18    154
194811    300    411     51     18    154
194812    300    411     51     18    154
194901    300    411     51     18    154
194902    300    411     51     18    154
194903    300    411     51     18    154
194904    300    411     51     18    154
194905    300    411     51     18    154
194906    300    411     51     18    154
194907    304    425     53     18    158
194908    304    425     53     18    158
194909    304    425     53     18    158
194910    304    425     53     18    158
194911    304    425     53     18    158
194912    304    425     53     18    157
195001    302    425     53     18    157
195002    302    425     53     18    157
195003    302    425     53     18    157
195004    302    425     53     18    157
195005    302    425     52     18    157
195006    302    424     52     18    157
195007    303    443     52     18    159
195008    303    443     52     18    159
195009    303    443     52     18    159
195010    303    443     52     18    159
195011    303    443     52     18    159
195012    302    442     52     18    159
195101    302    442     52     18    158
195102    302    442     52     18    158
195103    302    442     52     18    158
195104    302    442     52     18    158
195105    302    442     52     18    158
195106    302    442     52     18    158
195107    307    462     54     19    161
195108    306    462     54     19    161
195109    306    461     54     19    161
195110    306    461     54     19    161
195111    306    459     54     19    161
195112    306    459     54     19    161
195201    306    459     54     19    161
195202    306    459     54     19    161
195203    306    459     54     19    160
195204    305    459     54     19    160
195205    305    459     54     19    160
195206    305    459     54     19    160
195207    309    467     57     19    160
195208    309    467     57     19    160
195209    309    467     57     19    160
195210    309    467     57     18    160
195211    309    466     57     18    160
195212    309    466     57     18    160
195301    309    466     57     18    160
195302    308    466     56     18    160
195303    306    466     55     18    160
195304    306    466     55     18    160
195305    306    465     55     17    157
195306    306    465     55     17    157
195307    307    477     58     18    161
195308    306    477     58     18    161
195309    304    477     58     18    161
195310    303    477     58     18    161
195311    303    476     58     18    161
195312    303    476     58     18    161
195401    303    476     58     18    161
195402    303    476     58     18    161
195403    303    476     58     18    161
195404    303    475     58     18    161
195405    302    473     58     18    161
195406    302    473     58     18    161
195407    301    483     59     18    162
195408    301    482     59     18    162
195409    301    482     59     18    162
195410    300    481     59     18    160
195411    300    480     59     18    160
195412    300    480     59     18    160
195501    300    479     59     18    160
195502    298    478     59     18    160
195503    298    476     59     18    160
195504    298    476     59     17    159
195505    298    475     58     17    158
195506    298    475     58     17    158
195507    302    491     58     17    159
195508    302    489     58     17    158
195509    301    487     58     17    158
195510    300    486     58     17    158
195511    300    486     58     17    158
195512    298    484     58     17    158
195601    296    484     58     17    158
195602    295    484     58     17    158
195603    295    484     58     17    158
195604    295    484     58     17    158
195605    293    484     58     17    158
195606    293    483     58     17    156
195607    293    495     60     17    158
195608    292    494     60     17    157
195609    292    493     60     17    156
195610    292    490     60     17    156
195611    291    490     60     17    156
195612    291    490     60     17    156
195701    291    486     60     17    156
195702    291    486     60     17    156
195703    291    486     60     17    156
195704    290    486     60     17    156
195705    288    485     60     17    156
195706    287    483     60     17    156
195707    293    498     69     17    160
195708    292    497     68     17    160
195709    292    496     68     17    159
195710    290    496     67     17    159
195711    290    496     66     17    159
195712    290    494     66     17    157
195801    290    492     66     17    157
195802    289    492     66     17    157
195803    287    490     66     17    156
195804    287    490     66     17    156
195805    286    489     66     17    156
195806    285    487     66     17    156
195807    281    499     72     20    167
195808    281    498     72     20    166
195809    281    497     72     20    164
195810    281    496     72     20    162
195811    281    496     72     20    162
195812    280    495     72     20    162
195901    280    495     72     20    162
195902    278    495     72     20    162
195903    277    494     71     20    160
195904    277    493     71     20    158
195905    277    493     71     20    158
195906    277    493     71     20    157
195907    284    500     78     22    160
195908    284    500     78     22    159
195909    284    500     78     22    159
195910    283    500     77     22    159
195911    283    499     77     22    159
195912    283    499     76     22    158
196001    283    499     75     22    158
196002    283    499     75     22    157
196003    282    499     75     22    157
196004    281    498     75     22    156
196005    281    496     74     22    156
196006    281    496     74     22    156
196007    290    512     83     23    164
196008    289    512     83     23    164
196009    289    511     83     23    164
196010    286    511     83     23    163
196011    285    511     83     23    162
196012    284    511     83     23    162
196101    282    510     83     22    162
196102    279    510     83     22    161
196103    279    509     83     22    161
196104    278    508     83     22    161
196105    278    508     83     22    161
196106    277    508     83     22    160
196107    289    522     90     22    165
196108    288    521     90     22    163
196109    287    521     90     22    162
196110    286    520     90     22    162
196111    286    520     89     22    161
196112    286    519     88     22    160
196201    286    518     88     22    160
196202    285    516     88     22    160
196203    285    516     88     22    160
196204    285    512     88     22    159
196205    284    511     88     22    159
196206    284    509     87     22    159
196207    294    533     98     23    164
196208    294    533     98     23    164
196209    294    532     98     23    164
196210    293    532     98     23    164
196211    292    531     98     23    164
196212    292    530     98     23    164
196301    292    530     98     23    163
196302    292    529     98     23    163
196303    291    529     98     23    163
196304    291    528     98     23    162
196305    289    526     97     23    161
196306    289    525     96     23    161
196307    554    863    154     36    349
196308    553    862    154     36    345
196309    551    857    154     36    345
196310    550    854    153     36    342
196311    549    852    153     36    341
196312    546    845    153     36    340
196401    545    839    153     36    340
196402    545    838    153     36    340
196403    543    835    153     36    339
196404    542    833    152     36    337
196405    539    829    151     36    336
196406    538    826    151     36    336
196407    581    864    166     38    349
196408    580    863    166     38    348
196409    578    858    166     38    347
196410    578    855    166     38    344
196411    577    853    166     38    343
196412    575    850    164     38    343
196501    574    845    163     38    342
196502    570    842    163     38    341
196503    569    840    160     38    338
196504    567    837    160     38    338
196505    566    835    160     38    335
196506    564    833    160     38    334
196507    602    869    176     39    361
196508    601    867    175     39    360
196509    597    863    174     39    359
196510    592    860    174     39    358
196511    591    858    174     39    356
196512    588    856    173     39    356
196601    585    853    172     38    353
196602    583    847    172     38    351
196603    582    846    172     38    351
196604    579    843    172     38    351
196605    573    840    171     38    350
196606    569    837    171     38    349
196607    607    869    185     39    364
196608    607    868    184     39    360
196609    607    867    184     39    359
196610    606    863    184     39    357
196611    602    860    184     39    355
196612    599    858    183     39    351
196701    597    857    183     39    349
196702    596    855    183     39    348
196703    594    852    181     39    348
196704    592    851    179     39    346
196705    587    846    177     39    343
196706    583    843    177     39    341
196707    608    886    192     40    350
196708    605    882    192     40    348
196709    601    873    191     40    346
196710    597    868    188     40    345
196711    593    865    187     40    344
196712    590    859    186     39    343
196801    586    847    184     38    341
196802    584    843    183     38    338
196803    581    842    183     38    336
196804    578    837    183     38    333
196805    575    832    183     38    332
196806    569    821    182     38    329
196807    605    860    210     44    347
196808    604    858    210     44    345
196809    602    854    209     44    342
196810    598    846    208     44    342
196811    595    841    207     44    341
196812    592    833    207     44    339
196901    586    829    207     44    336
196902    583    824    206     44    335
196903    581    822    205     44    331
196904    577    821    203     44    330
196905    576    817    201     44    329
196906    573    815    201     44    326
196907    640    855    228     49    375
196908    639    853    226     49    374
196909    637    851    226     49    370
196910    637    850    225     49    370
196911    636    846    224     49    369
196912    630    845    222     49    369
197001    628    843    222     49    369
197002    627    841    222     49    369
197003    627    841    222     49    365
197004    627    839    220     49    362
197005    625    834    220     49    362
197006    621    833    219     49    361
197007    688    869    224     53    410
197008    686    867    223     53    408
197009    686    867    220     53    407
197010    686    864    220     53    407
197011    684    863    219     52    406
197012    681    857    218     52    404
197101    677    856    218     51    403
197102    674    854    218     51    402
197103    672    853    217     51    399
197104    670    850    215     51    399
197105    669    846    212     51    396
197106    667    844    210     51    394
197107    714    869    222     60    442
197108    713    868    222     60    441
197109    713    868    220     60    441
197110    713    868    220     60    441
197111    712    865    220     60    441
197112    712    864    219     60    439
197201    711    859    218     60    439
197202    711    859    218     60    438
197203    709    858    217     60    436
197204    708    856    216     60    433
197205    708    854    216     60    430
197206    707    853    215     60    427
197207    768    880    222     70    489
197208    762    879    222     70    486
197209    761    878    222     70    486
197210    758    877    222     70    485
197211    757    875    220     70    483
197212    756    873    220     70    483
197301    751    871    219     70    482
197302    748    868    218     70    481
197303    747    866    218     70    479
197304    745    866    217     70    478
197305    739    862    215     70    476
197306    737    862    214     70    475
197307   1291   1309    470    134   1909
197308   1280   1304    467    134   1890
197309   1273   1300    464    132   1878
197310   1265   1297    460    132   1867
197311   1250   1284    452    132   1837
197312   1235   1278    446    129   1808
197401   1230   1273    444    127   1794
197402   1225   1270    441    127   1788
197403   1223   1269    435    127   1778
197404   1216   1265    432    126   1772
197405   1205   1256    429    124   1761
197406   1195   1252    426    124   1748
197407   1186   1266    431    130   1734
197408   1177   1262    425    129   1723
197409   1165   1261    420    129   1714
197410   1155   1258    416    129   1703
197411   1150   1251    414    129   1693
197412   1145   1241    411    129   1681
197501   1136   1237    409    126   1671
197502   1135   1235    407    125   1667
197503   1132   1231    405    125   1663
197504   1129   1226    405    125   1654
197505   1128   1225    404    125   1651
197506   1120   1219    399    122   1644
197507   1132   1255    402    134   1647
197508   1128   1249    400    134   1642
197509   1126   1248    399    133   1640
197510   1123   1247    399    131   1632
197511   1117   1244    398    131   1628
197512   1112   1242    396    129   1622
197601   1108   1235    395    129   1614
197602   1105   1231    395    129   1610
197603   1096   1230    394    129   1606
197604   1090   1228    390    128   1601
197605   1088   1219    389    128   1595
197606   1083   1215    388    128   1592
197607   1133   1272    410    135   1666
197608   1124   1265    410    135   1660
197609   1122   1262    408    135   1654
197610   1120   1256    408    135   1651
197611   1117   1252    406    134   1649
197612   1115   1245    403    130   1642
197701   1107   1240    399    129   1636
197702   1103   1235    397    128   1632
197703   1095   1230    397    127   1629
197704   1093   1226    396    126   1626
197705   1088   1216    395    124   1624
197706   1082   1210    395    123   1621
197707   1123   1269    428    133   1676
197708   1112   1264    425    132   1668
197709   1108   1259    423    132   1658
197710   1101   1252    421    131   1652
197711   1097   1249    419    130   1650
197712   1090   1237    416    128   1645
197801   1081   1228    411    125   1630
197802   1075   1225    410    125   1621
197803   1071   1221    410    125   1615
197804   1066   1212    407    124   1612
197805   1057   1198    405    123   1606
197806   1048   1181    403    120   1599
197807   1065   1231    421    124   1659
197808   1054   1223    419    124   1651
197809   1047   1220    417    122   1642
197810   1038   1216    415    122   1633
197811   1034   1211    413    122   1624
197812   1030   1207    409    121   1616
197901   1019   1196    407    121   1606
197902   1013   1190    406    120   1594
197903   1010   1185    404    119   1590
197904   1004   1182    400    118   1577
197905   1002   1178    399    117   1569
197906    993   1173    395    115   1554
197907   1013   1227    441    127   1643
197908   1007   1219    440    126   1635
197909   1002   1216    438    124   1626
197910    998   1212    437    124   1622
197911    991   1208    432    124   1614
197912    985   1202    427    123   1608
198001    975   1192    424    123   1588
198002    969   1188    422    122   1583
198003    965   1185    421    122   1572
198004    958   1178    419    119   1565
198005    952   1174    415    117   1554
198006    948   1170    410    117   1544
198007    986   1263    463    136   1637
198008    983   1257    459    135   1620
198009    973   1250    456    133   1611
198010    968   1248    455    133   1602
198011    966   1243    452    132   1596
198012    958   1239    447    132   1583
198101    946   1236    442    131   1575
198102    938   1229    441    130   1567
198103    934   1221    438    129   1563
198104    927   1214    437    127   1557
198105    922   1209    437    126   1556
198106    914   1201    435    126   1548
198107    974   1384    581    156   1728
198108    967   1378    580    156   1726
198109    960   1377    578    155   1713
198110    953   1371    575    154   1703
198111    948   1367    571    154   1696
198112    940   1360    569    152   1690
198201    936   1357    565    152   1678
198202    932   1351    563    152   1669
198203    925   1346    559    150   1654
198204    918   1339    555    149   1636
198205    908   1337    554    149   1623
198206    900   1334    553    147   1612
198207    950   1438    654    175   1709
198208    945   1432    652    174   1697
198209    941   1419    649    172   1674
198210    934   1410    645    171   1658
198211    925   1406    643    170   1635
198212    924   1395    639    168   1620
198301    914   1381    637    167   1597
198302    910   1371    636    165   1590
198303    905   1367    634    162   1582
198304    903   1358    632    160   1575
198305    899   1352    624    160   1562
198306    894   1341    619    159   1550
198307    996   1419    755    201   1729
198308    990   1403    752    199   1714
198309    984   1392    748    199   1700
198310    983   1383    744    199   1692
198311    979   1380    742    199   1682
198312    971   1368    739    198   1675
198401    962   1356    737    195   1660
198402    948   1348    735    193   1652
198403    945   1339    734    193   1641
198404    939   1331    731    193   1630
198405    930   1328    730    190   1618
198406    922   1317    721    190   1599
198407   1097   1438    994    284   1852
198408   1092   1433    991    283   1839
198409   1073   1415    984    281   1819
198410   1065   1407    973    278   1794
198411   1057   1388    966    277   1777
198412   1049   1377    963    273   1766
198501   1037   1367    955    269   1740
198502   1031   1353    949    268   1731
198503   1024   1342    942    265   1724
198504   1013   1338    934    264   1710
198505    995   1328    928    264   1690
198506    985   1315    915    259   1675
198507   1073   1400   1035    312   1755
198508   1064   1387   1024    311   1732
198509   1054   1380   1017    309   1714
198510   1041   1367   1007    307   1705
198511   1028   1354    998    304   1686
198512   1013   1343    988    300   1669
198601   1006   1332    980    296   1644
198602    998   1324    975    293   1633
198603    991   1311    962    289   1618
198604    978   1298    955    285   1603
198605    969   1284    949    281   1585
198606    961   1267    939    277   1573
198607   1134   1396   1043    362   1766
198608   1127   1382   1034    359   1749
198609   1117   1369   1025    357   1732
198610   1105   1353   1014    352   1721
198611   1092   1338   1002    345   1701
198612   1074   1307    987    344   1669
198701   1057   1300    975    338   1654
198702   1055   1291    973    335   1649
198703   1049   1279    967    331   1637
198704   1038   1269    965    331   1629
198705   1034   1264    960    331   1615
198706   1025   1254    950    330   1605
198707   1202   1360   1096    411   2049
198708   1191   1350   1082    409   2036
198709   1183   1337   1073    407   2030
198710   1168   1325   1063    406   2009
198711   1153   1314   1057    400   1991
198712   1136   1307   1045    396   1974
198801   1130   1300   1039    391   1958
198802   1122   1288   1023    389   1936
198803   1109   1281   1017    381   1922
198804   1089   1272   1009    380   1909
198805   1064   1259    997    378   1886
198806   1053   1246    987    374   1875
198807   1176   1301   1079    414   2082
198808   1161   1288   1067    407   2056
198809   1150   1278   1057    399   2036
198810   1140   1268   1051    397   2022
198811   1127   1251   1041    392   2005
198812   1103   1239   1026    389   1975
198901   1093   1231   1015    387   1958
198902   1085   1225   1001    385   1943
198903   1076   1218    987    382   1927
198904   1068   1214    981    378   1909
198905   1055   1204    968    375   1895
198906   1042   1189    957    369   1875
198907   1119   1265   1004    399   2003
198908   1108   1255    995    397   1975
198909   1094   1246    988    395   1951
198910   1087   1237    984    390   1939
198911   1075   1232    973    388   1916
198912   1066   1224    968    385   1897
199001   1060   1213    960    381   1876
199002   1050   1208    954    379   1861
199003   1044   1200    947    378   1843
199004   1033   1196    938    374   1828
199005   1026   1188    930    372   1808
199006   1015   1180    914    367   1790
199007   1088   1228    992    428   1944
199008   1078   1220    983    428   1922
199009   1071   1216    978    426   1906
199010   1059   1209    972    422   1891
199011   1052   1201    963    417   1876
199012   1051   1191    954    416   1863
199101   1045   1186    950    413   1839
199102   1039   1181    945    408   1830
199103   1034   1174    936    405   1819
199104   1022   1161    929    402   1800
199105   1012   1153    925    400   1783
199106   1003   1151    920    398   1774
199107   1052   1207    960    460   1873
199108   1044   1203    955    456   1860
199109   1039   1202    948    455   1848
199110   1033   1200    939    452   1837
199111   1023   1197    931    452   1824
199112   1018   1192    919    449   1803
199201   1013   1186    913    447   1787
199202   1004   1182    907    442   1777
199203    997   1178    900    441   1755
199204    989   1169    894    438   1737
199205    979   1158    885    434   1719
199206    968   1145    871    430   1701
199207   1123   1199    973    551   1837
199208   1110   1190    960    549   1823
199209   1105   1185    957    543   1809
199210   1095   1180    951    535   1789
199211   1088   1177    946    535   1780
199212   1086   1173    940    534   1762
199301   1083   1169    932    533   1744
199302   1078   1167    929    530   1731
199303   1073   1164    921    528   1711
199304   1070   1162    918    524   1703
199305   1069   1158    915    520   1693
199306   1063   1149    912    519   1682
199307   1204   1211   1035    597   1907
199308   1200   1205   1032    591   1896
199309   1197   1202   1027    588   1889
199310   1192   1199   1024    585   1876
199311   1187   1190   1022    583   1871
199312   1182   1185   1013    581   1852
199401   1175   1182   1011    580   1832
199402   1171   1177   1005    575   1820
199403   1169   1174   1002    573   1806
199404   1168   1168    995    568   1795
199405   1165   1162    988    562   1783
199406   1161   1158    984    553   1765
199407   1366   1316   1159    626   2080
199408   1359   1309   1151    625   2061
199409   1349   1306   1140    621   2045
199410   1345   1301   1134    612   2033
199411   1338   1296   1127    608   2020
199412   1329   1287   1113    603   2004
199501   1322   1282   1105    598   1979
199502   1317   1275   1098    594   1964
199503   1307   1267   1088    588   1948
199504   1296   1262   1085    584   1930
199505   1282   1253   1079    577   1913
199506   1269   1244   1065    576   1896
199507   1383   1315   1209    624   2102
199508   1371   1314   1199    616   2092
199509   1365   1307   1192    611   2080
199510   1354   1301   1184    606   2060
199511   1345   1294   1178    597   2046
199512   1338   1291   1166    594   2028
199601   1327   1283   1160    590   1993
199602   1318   1273   1150    587   1979
199603   1317   1263   1147    583   1961
199604   1314   1257   1141    580   1938
199605   1307   1248   1133    576   1923
199606   1295   1244   1130    572   1910
199607   1426   1329   1416    702   2196
199608   1418   1318   1404    697   2182
199609   1404   1313   1399    693   2170
199610   1393   1304   1391    692   2151
199611   1385   1298   1383    689   2133
199612   1373   1290   1374    683   2113
199701   1363   1280   1362    678   2095
199702   1351   1278   1352    675   2082
199703   1341   1268   1341    670   2059
199704   1333   1266   1330    666   2040
199705   1326   1261   1320    663   2025
199706   1314   1254   1309    659   1996
199707   1429   1337   1523    740   2248
199708   1415   1318   1512    735   2224
199709   1398   1312   1503    725   2209
199710   1386   1298   1496    718   2188
199711   1376   1290   1483    713   2169
199712   1359   1276   1463    706   2136
199801   1342   1263   1449    701   2118
199802   1329   1259   1434    696   2092
199803   1312   1250   1419    686   2060
199804   1301   1238   1407    683   2031
199805   1290   1232   1391    677   2007
199806   1278   1215   1368    670   1980
199807   1385   1268   1540    732   2205
199808   1370   1258   1523    724   2179
199809   1351   1244   1496    716   2161
199810   1329   1229   1466    696   2130
199811   1318   1223   1450    687   2109
199812   1301   1214   1432    677   2077
199901   1283   1201   1414    669   2049
199902   1267   1188   1400    663   2025
199903   1246   1170   1377    650   1998
199904   1230   1156   1362    644   1979
199905   1216   1146   1341    640   1961
199906   1201   1137   1318    630   1937
199907   1237   1153   1486    635   2075
199908   1225   1128   1466    629   2056
199909   1211   1116   1448    617   2036
199910   1203   1103   1430    611   2008
199911   1196   1082   1410    594   1982
199912   1177   1073   1389    586   1960
200001   1168   1068   1372    581   1940
200002   1159   1057   1353    575   1920
200003   1152   1047   1340    573   1880
200004   1141   1039   1326    570   1857
200005   1130   1032   1311    564   1844
200006   1117   1020   1292    559   1818
200007   1161   1041   1658    608   1938
200008   1146   1033   1642    601   1923
200009   1134   1015   1626    592   1906
200010   1110   1003   1606    584   1875
200011   1090    989   1590    570   1851
200012   1068    977   1569    559   1834
200101   1052    960   1550    555   1802
200102   1040    956   1531    549   1782
200103   1027    947   1507    545   1766
200104   1015    936   1475    537   1740
200105    996    922   1444    531   1721
200106    985    915   1419    528   1695
200107    983    960   1545    575   1733
200108    963    949   1500    571   1715
200109    953    944   1488    568   1697
200110    944    938   1472    565   1682
200111    930    928   1446    561   1658
200112    921    924   1430    559   1635
200201    910    916   1414    557   1614
200202    903    909   1399    555   1593
200203    893    903   1385    554   1577
200204    887    893   1366    548   1561
200205    883    889   1346    547   1550
200206    877    883   1327    542   1546
200207    895    880   1367    573   1586
200208    889    874   1340    570   1566
200209    886    870   1323    568   1556
200210    878    861   1303    562   1544
200211    875    853   1287    560   1533
200212    870    848   1267    553   1524
200301    864    840   1250    549   1506
200302    860    834   1235    544   1498
200303    853    828   1204    532   1482
200304    841    824   1190    527   1477
200305    833    822   1176    526   1463
200306    825    820   1161    521   1456
200307    833    832   1176    523   1505
200308    827    828   1161    519   1490
200309    821    825   1150    518   1484
200310    815    821   1137    517   1475
200311    811    819   1124    515   1459
200312    804    813   1114    514   1446
200401    798    810   1106    511   1433
200402    794    807   1099    508   1424
200403    792    802   1085    507   1418
200404    783    800   1080    504   1404
200405    778    796   1076    502   1388
200406    775    793   1067    498   1378
200407    801    802   1122    556   1456
200408    793    800   1112    553   1449
200409    790    796   1111    553   1437
200410    784    793   1102    552   1425
200411    779    790   1092    551   1414
200412    774    785   1085    548   1402
200501    773    778   1081    545   1382
200502    769    776   1075    544   1370
200503    762    768   1072    543   1362
200504    756    764   1065    541   1354
200505    750    760   1055    538   1344
200506    747    757   1042    536   1338
200507    786    795   1111    573   1432
200508    777    790   1097    569   1423
200509    773    787   1088    564   1416
200510    762    781   1078    559   1410
200511    757    780   1066    553   1404
200512    749    775   1059    550   1391
200601    744    773   1046    544   1380
200602    737    769   1032    540   1375
200603    731    769   1024    536   1366
200604    728    764   1017    529   1359
200605    723    761   1007    525   1351
200606    717    758   1000    523   1344
200607    763    804   1045    576   1447
200608    760    801   1036    575   1440
200609    754    798   1031    574   1434
200610    750    793   1019    573   1425
200611    741    791   1014    565   1414
200612    738    784   1003    560   1404
200701    732    779    990    553   1390
200702    728    775    981    551   1379
200703    723    771    971    549   1373
200704    720    761    961    542   1360
200705    714    757    951    541   1352
200706    708    747    943    537   1344
200707    729    790   1009    579   1456
200708    721    787   1000    573   1441
200709    716    785    988    570   1433
200710    708    782    977    566   1417
200711    698    777    967    558   1407
200712    691    772    957    555   1395
200801    689    770    949    550   1388
200802    687    764    944    546   1376
200803    684    759    937    540   1364
200804    678    754    930    533   1355
200805    671    750    920    524   1346
200806    670    748    914    521   1336
200807    691    791    957    553   1418
200808    686    786    945    548   1413
200809    681    783    931    544   1404
200810    673    781    921    537   1392
200811    665    775    912    535   1378
200812    662    771    905    527   1367
200901    656    768    901    519   1355
200902    651    764    895    514   1344
200903    648    755    889    506   1332
200904    645    747    879    503   1319
200905    643    742    874    495   1312
200906    639    740    861    488   1302
200907    644    751    863    497   1323
200908    640    748    858    493   1313
200909    637    747    857    488   1302
200910    635    744    849    483   1290
200911    629    737    840    478   1280
200912    626    734    834    473   1267
201001    623    734    827    468   1254
201002    621    731    818    465   1243
201003    615    726    815    459   1237
201004    615    723    804    459   1225
201005    612    720    801    458   1217
201006    611    717    800    456   1209
201007    626    741    830    477   1260
201008    623    739    823    474   1258
201009    621    732    818    471   1255
201010    619    731    806    466   1247
201011    616    727    800    459   1238
201012    614    718    790    452   1226
201101    611    714    785    449   1217
201102    609    709    778    445   1215
201103    603    707    772    442   1207
201104    598    705    762    438   1195
201105    593    702    757    436   1187
201106    588    696    749    428   1175
201107    604    717    790    451   1216
201108    603    715    785    449   1214
201109    602    712    781    447   1208
201110    600    710    775    443   1201
201111    594    705    769    440   1193
201112    591    697    765    438   1185


  Average Firm Size
           Cnsmr     Manuf     HiTec     Hlth      Other
192607     41.75     55.12    146.43     26.65     52.64
192608     43.35     56.52    149.06     26.91     53.60
192609     44.32     57.49    152.45     27.95     55.73
192610     45.04     56.97    152.28     28.08     55.65
192611     42.83     55.46    148.79     27.70     53.92
192612     44.04     56.60    153.18     29.05     55.21
192701     45.64     58.01    152.99     28.88     56.60
192702     45.39     57.94    153.64     30.13     57.80
192703     47.61     60.03    159.91     30.43     60.50
192704     48.52     58.88    169.22     30.64     61.46
192705     49.82     58.09    171.51     31.47     61.93
192706     52.24     61.49    180.28     32.53     65.61
192707     48.41     62.28    163.66     33.05     59.21
192708     52.50     67.15    175.96     36.12     62.63
192709     55.84     68.18    181.03     36.02     61.67
192710     58.90     71.23    186.54     37.99     64.26
192711     55.92     68.36    185.24     39.62     61.71
192712     59.77     73.29    197.00     40.86     64.81
192801     61.84     74.44    197.60     40.55     65.64
192802     61.07     74.42    197.48     41.46     64.71
192803     59.84     73.84    196.50     34.35     63.24
192804     67.83     78.70    214.97     37.75     66.76
192805     68.06     84.57    228.44     38.56     69.34
192806     70.47     84.38    238.40     41.86     69.19
192807     64.07     78.48    226.41     58.31     68.28
192808     66.03     79.14    225.68     59.78     67.88
192809     71.50     83.71    242.04     68.35     70.84
192810     74.07     87.10    241.06     67.22     70.97
192811     75.00     89.04    246.68     67.07     70.58
192812     80.65    102.82    279.65     70.00     77.36
192901     80.22    103.02    287.73     81.39     77.79
192902     80.37    108.97    321.41     83.93     82.03
192903     78.73    110.14    327.73     83.24     82.28
192904     75.52    110.90    340.17     81.48     80.08
192905     76.44    113.63    348.41     82.64     80.44
192906     68.99    106.77    335.47     75.75     80.08
192907     69.71    119.65    362.59     73.37     88.15
192908     69.65    125.23    402.29     75.39     93.79
192909     72.76    137.07    449.50     77.93    100.09
192910     68.71    130.98    424.99     72.32     94.63
192911     54.72    104.23    328.57     59.18     83.20
192912     47.95     90.96    279.79     53.62     75.71
193001     48.11     93.12    294.72     54.10     75.21
193002     50.72     97.45    312.88     55.20     78.33
193003     50.48     99.60    335.69     60.57     80.73
193004     52.40    109.91    361.98     63.93     84.61
193005     51.27    108.43    359.06     63.93     78.92
193006     52.26    106.19    350.39     68.75     78.46
193007     43.85     85.19    253.74     50.11     65.24
193008     46.14     88.31    260.75     53.14     67.33
193009     46.53     87.92    265.66     56.92     66.81
193010     41.09     76.09    231.09     51.75     59.53
193011     38.04     68.84    206.13     49.31     55.09
193012     38.57     66.26    199.17     47.28     52.01
193101     36.07     61.10    183.15     43.62     47.55
193102     38.20     64.17    192.13     47.06     53.04
193103     42.64     71.51    217.78     50.58     55.78
193104     41.16     66.05    210.43     51.29     50.16
193105     38.86     57.47    192.67     49.37     45.16
193106     34.50     49.25    171.95     43.93     37.22
193107     37.96     58.74    209.09     54.46     44.82
193108     36.90     54.42    194.01     56.17     40.43
193109     36.49     53.31    197.93     55.58     38.67
193110     26.14     37.31    143.10     38.73     28.41
193111     28.60     40.64    152.79     42.98     28.64
193112     26.94     37.52    137.87     41.32     23.33
193201     23.92     31.57    121.93     39.43     19.25
193202     23.71     30.80    113.61     38.22     20.51
193203     24.59     32.74    124.67     38.68     20.35
193204     22.03     29.67    108.53     35.83     16.95
193205     18.49     24.29     90.94     28.67     13.24
193206     14.31     19.74     76.30     18.10      9.33
193207     13.80     19.51     72.85     19.81      8.85
193208     17.87     26.34     90.69     25.71     13.76
193209     23.09     35.70    121.33     34.74     21.80
193210     23.27     33.64    117.36     30.15     20.79
193211     20.01     29.83    103.40     24.27     17.06
193212     18.79     27.91     99.88     25.20     15.94
193301     19.48     28.97    102.37     27.15     16.59
193302     19.99     28.66    102.87     26.77     18.04
193303     17.18     23.76     90.91     23.60     15.00
193304     18.68     24.14     87.01     22.58     15.50
193305     26.60     34.36    109.31     31.28     20.17
193306     31.40     42.03    129.17     38.61     26.45
193307     35.53     46.98    132.60     44.19     28.94
193308     32.50     41.47    123.42     35.58     27.03
193309     36.25     46.78    132.77     35.01     31.17
193310     32.52     42.21    119.42     34.46     25.94
193311     29.53     39.18    109.76     32.40     23.11
193312     32.87     43.14    122.55     34.95     24.28
193401     33.57     44.08    118.63     30.97     25.56
193402     38.12     49.18    130.17     35.97     30.26
193403     37.17     47.62    128.45     34.26     29.55
193404     37.45     46.84    129.35     33.93     29.70
193405     37.09     45.78    127.22     36.74     29.21
193406     34.47     42.00    120.60     36.14     27.04
193407     35.06     43.38    118.06     24.44     27.33
193408     32.27     38.12    109.47     23.97     22.50
