Id,price,experiences_offered,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month
1027,25,none,N/A,N/A,t,1,t,51.46148388,-0.114678111,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,5,1,1125,5,96,10,9,10,10,10,10,t,flexible,f,f,0.45
1028,150,none,within an hour,1,f,1,f,51.48334683,-0.186189689,Apartment,Entire home/apt,3,1,2,2,Real Bed,0,80,1,0,4,1125,9,91,9,9,10,9,9,9,f,moderate,f,f,0.48
1029,195,none,N/A,N/A,f,1,t,51.51558329,-0.203896597,House,Entire home/apt,4,2,2,2,Real Bed,400,75,1,0,5,1125,15,93,9,9,9,9,10,9,f,strict_14_with_grace_period,f,f,0.41
1030,82,none,within a few hours,1,f,4,t,51.52395657,-0.189717095,Apartment,Entire home/apt,2,1,0,1,Real Bed,,,1,0,7,30,0,,,,,,,,f,flexible,f,f,
1031,59,none,within an hour,1,f,22,f,51.55392735,-0.226581641,Apartment,Entire home/apt,2,1,0,1,Real Bed,,,1,0,3,1125,8,78,10,9,9,10,8,8,t,flexible,f,f,1.41
1032,73,none,N/A,N/A,f,1,t,51.48819182,-0.079941368,Apartment,Entire home/apt,2,1,1,1,Real Bed,,,1,0,1,2,2,100,10,10,10,10,10,10,f,flexible,f,f,0.05
1033,300,none,within an hour,1,t,150,f,51.5189741,-0.214912541,Apartment,Entire home/apt,6,2,4,4,Real Bed,350,155,1,0,5,1125,13,98,10,10,10,10,10,10,f,moderate,f,f,0.49
1034,40,business,within an hour,0.96,f,29,f,51.4912009,-0.191348927,Apartment,Private room,1,1,1,1,Real Bed,0,0,1,10,90,1125,8,93,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.14
1035,55,none,N/A,N/A,f,2,t,51.54570284,-0.190136636,Apartment,Entire home/apt,2,1,1,1,Real Bed,,20,1,0,3,6,0,,,,,,,,t,flexible,f,f,
1036,60,none,N/A,N/A,f,1,t,51.53710219,-0.135135018,House,Private room,3,1,1,1,Real Bed,300,30,2,20,4,1125,6,64,7,6,6,7,8,7,f,strict_14_with_grace_period,f,f,0.16
1037,70,none,N/A,N/A,f,1,f,51.5497029,-0.23817165,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,30,1,0,4,1125,2,100,10,9,10,10,10,10,f,strict_14_with_grace_period,f,f,0.09
1038,67,none,within an hour,1,f,2,f,51.51319455,-0.136505904,Apartment,Private room,2,0,1,0,Real Bed,,30,1,10,1,7,111,92,10,9,10,10,10,9,t,strict_14_with_grace_period,f,f,4.76
1039,30,none,within an hour,1,t,4,f,51.52726512,-0.252609725,Apartment,Private room,1,1,1,1,Real Bed,,15,1,0,3,1125,30,99,10,10,10,10,9,9,t,strict_14_with_grace_period,f,f,0.89
1040,150,none,within an hour,1,f,10,f,51.47548596,-0.173919202,Apartment,Entire home/apt,5,1,1,1,Real Bed,,40,4,30,2,1125,4,85,9,9,10,8,10,9,t,moderate,f,f,0.78
1041,78,none,N/A,N/A,f,1,f,51.4951586,-0.061351716,Apartment,Entire home/apt,2,1,1,1,Real Bed,,,1,0,3,1125,8,91,9,8,10,10,9,9,t,flexible,f,f,0.55
1042,80,none,N/A,N/A,f,1,t,51.52914681,-0.055309263,Apartment,Entire home/apt,3,1,1,2,Real Bed,100,0,2,30,5,1125,4,87,10,9,9,10,10,9,f,moderate,f,f,0.28
1043,45,none,within an hour,1,f,1,t,51.5402537,-0.202780914,House,Private room,2,1,1,1,Real Bed,0,0,1,20,1,1125,5,88,9,9,9,10,10,9,t,flexible,f,f,0.94
1044,55,none,N/A,N/A,f,1,t,51.46257741,-0.118395156,Apartment,Private room,2,1,1,1,Real Bed,,,1,0,7,1125,0,,,,,,,,f,moderate,f,f,
1045,100,none,within an hour,1,f,9,f,51.52635127,-0.071171229,Apartment,Entire home/apt,2,0,1,0,Real Bed,600,0,1,0,1,1125,36,92,9,10,10,10,9,9,t,strict_14_with_grace_period,f,f,3.62
1046,75,none,within a day,1,f,1,f,51.55080587,-0.080712183,Apartment,Private room,2,1.5,1,1,Real Bed,,,1,0,2,1125,0,,,,,,,,f,flexible,f,f,
1047,65,none,N/A,N/A,f,1,t,51.56025175,-0.110583166,House,Private room,2,1,1,1,Real Bed,0,25,1,0,1,3,4,90,10,9,10,10,9,9,f,strict_14_with_grace_period,f,f,0.64
1048,34,none,N/A,N/A,f,4,f,51.50584433,-0.238374465,Apartment,Private room,2,1,1,1,Real Bed,0,10,1,0,2,30,26,97,10,9,10,10,9,10,t,strict_14_with_grace_period,f,f,1.67
1049,65,none,N/A,N/A,f,1,f,51.54764253,-0.079079455,Apartment,Private room,2,1,1,1,Real Bed,0,19,1,0,3,1125,1,100,10,8,10,10,10,8,t,strict_14_with_grace_period,f,f,0.26
1050,100,none,N/A,N/A,f,1,f,51.54050429,-0.080541282,Apartment,Entire home/apt,2,1,1,1,Real Bed,,,1,0,1,1125,2,90,10,9,10,10,10,9,f,moderate,f,f,0.1
1051,30,none,a few days or more,0,f,1,f,51.54960716,0.016087296,Townhouse,Private room,2,1,2,1,Real Bed,,,1,0,3,14,1,40,8,8,10,8,6,6,t,strict_14_with_grace_period,f,f,0.18
1052,75,none,within an hour,1,f,1,f,51.5338759,-0.110249132,Apartment,Entire home/apt,2,1,0,1,Real Bed,250,25,1,5,2,14,34,98,10,10,10,10,10,9,f,strict_14_with_grace_period,f,f,1.4
1053,49,none,within an hour,0.98,f,10,f,51.49138733,-0.141480583,Hotel,Private room,1,1,1,1,Real Bed,,,1,49,1,1125,52,77,9,9,9,9,9,8,t,strict_14_with_grace_period,f,f,6.84
1054,80,none,within an hour,1,f,4,f,51.50471013,-0.082210964,Apartment,Private room,2,1,1,1,Real Bed,120,45,1,0,2,1125,24,89,9,9,8,9,10,9,f,strict_14_with_grace_period,f,t,1.75
1055,45,none,within an hour,1,f,1,f,51.51015714,-0.227657667,Serviced apartment,Private room,2,1,1,0,Real Bed,100,20,1,0,2,1125,86,97,10,10,10,10,9,10,t,strict_14_with_grace_period,f,f,4.2
1056,130,family,within an hour,1,t,3,t,51.53122597,-0.121927061,Condominium,Entire home/apt,6,1.5,3,3,Real Bed,100,75,4,25,28,1124,123,91,9,8,10,9,9,9,f,strict_14_with_grace_period,t,t,1.45
1057,144,none,within an hour,0.96,f,1277,f,51.46710397,-0.26330433,House,Entire home/apt,4,1,2,3,Real Bed,495,150,4,0,3,1125,2,90,10,10,8,8,10,8,t,strict_14_with_grace_period,f,f,0.12
1058,70,none,within an hour,1,f,1,t,51.47843665,-0.029699921,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,20,2,10,3,28,11,96,10,9,10,10,9,9,f,strict_14_with_grace_period,f,f,0.49
1059,149,none,within a few hours,1,f,2,f,51.52904757,-0.077497585,Apartment,Entire home/apt,4,2,2,2,Real Bed,,30,1,0,5,28,2,100,10,10,9,10,10,10,f,moderate,f,f,0.14
1060,82,none,within an hour,0.98,f,89,f,51.52380957,-0.070381749,Apartment,Entire home/apt,4,1,1,1,Real Bed,100,25,1,0,1,1125,34,86,9,9,10,10,10,9,t,strict_14_with_grace_period,f,f,1.94
1061,90,none,N/A,N/A,f,1,t,51.47553174,-0.057458158,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,36,1,0,4,14,2,100,10,10,10,10,10,9,t,moderate,f,f,0.1
1062,120,none,within an hour,0.83,f,1,f,51.52791952,-0.060734642,Apartment,Entire home/apt,4,2,2,2,Real Bed,85,84,2,15,2,1125,5,96,10,10,10,10,9,10,f,moderate,f,f,1.22
1063,70,none,a few days or more,0,f,1,f,51.45922389,0.031468,Apartment,Entire home/apt,4,1,1,2,Real Bed,,,1,0,3,31,5,100,10,10,10,9,10,10,f,flexible,f,f,0.68
1064,80,none,within an hour,1,t,2,t,51.52276787,-0.200988322,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,1,10,2,20,2,100,10,9,10,10,10,10,t,strict_14_with_grace_period,f,f,0.17
1065,59,none,within an hour,0.91,f,4,t,51.45287563,-0.2105396,House,Private room,4,1,2,2,Real Bed,78,44,2,15,2,10,15,97,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,2.76
1066,110,none,within an hour,1,f,1,f,51.5139052,-0.122739009,Apartment,Entire home/apt,2,1,1,1,Real Bed,85,64,2,15,2,1125,2,40,6,6,2,2,8,8,f,moderate,f,f,0.59
1067,128,none,N/A,N/A,f,1,f,51.49210876,-0.180993978,Apartment,Entire home/apt,4,1,1,2,Real Bed,0,100,1,0,1,1125,4,80,9,8,10,10,10,8,f,flexible,f,f,0.64
1068,111,none,within a few hours,1,f,5,f,51.55168734,-0.186414317,Apartment,Entire home/apt,4,1,2,2,Real Bed,1300,70,1,0,50,200,2,70,9,9,9,6,9,5,t,strict_14_with_grace_period,f,f,0.18
1069,50,none,N/A,N/A,f,1,f,51.45271465,-0.128681789,House,Private room,1,1,1,1,Real Bed,,,1,0,5,5,0,,,,,,,,f,flexible,f,f,
1070,199,none,within an hour,1,f,179,f,51.51879078,-0.166175059,Serviced apartment,Entire home/apt,6,1,3,3,Real Bed,350,110,1,0,3,1125,11,93,9,9,10,10,9,9,f,strict_14_with_grace_period,f,f,1.05
1071,60,none,N/A,N/A,f,1,f,51.44456036,-0.104610957,Apartment,Private room,2,1,1,1,Real Bed,,,1,0,1,1125,0,,,,,,,,f,flexible,f,f,
1072,170,none,within an hour,1,t,4,t,51.47940064,-0.215442719,Townhouse,Entire home/apt,4,2,2,2,Real Bed,0,65,1,0,3,100,7,100,10,10,9,9,9,9,t,strict_14_with_grace_period,f,f,1.19
1073,35,none,within an hour,1,t,1,f,51.47376177,-0.151901835,Apartment,Private room,2,1,1,1,Real Bed,76,9,2,20,1,1125,60,95,9,9,10,10,9,10,t,strict_14_with_grace_period,f,f,8.11
1074,325,none,within an hour,1,f,3,f,51.50768831,-0.130288595,Apartment,Entire home/apt,10,2,3,5,Real Bed,80,65,1,10,1,1125,90,93,10,9,10,10,10,9,t,strict_14_with_grace_period,f,f,2.61
1075,200,none,N/A,N/A,f,1,f,51.45147713,-0.17708631,Apartment,Entire home/apt,8,2,4,4,Real Bed,400,50,1,0,3,31,1,100,10,8,10,10,8,10,f,strict_14_with_grace_period,f,f,0.05
1076,70,none,within an hour,1,f,123,f,51.49969747,-0.225602807,Apartment,Entire home/apt,4,1,2,2,Real Bed,400,95,1,0,5,1001,2,90,9,7,10,9,10,10,t,strict_14_with_grace_period,f,f,2
1077,119,none,within an hour,1,f,2,f,51.52859098,-0.082559222,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,30,1,0,2,1125,7,97,10,9,10,10,10,9,t,strict_14_with_grace_period,f,f,4.38
1078,100,none,within an hour,1,t,1,t,51.50856008,-0.054834026,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,40,2,10,3,1125,14,97,10,10,10,10,9,9,t,moderate,f,f,0.96
1079,71,none,N/A,N/A,f,1,f,51.54891927,-0.06071417,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,25,1,0,2,1125,5,100,10,10,10,10,9,10,f,strict_14_with_grace_period,f,f,0.13
1080,199,none,within an hour,1,f,63,t,51.53212993,-0.086936446,Apartment,Entire home/apt,7,2,2,3,Real Bed,250,40,6,20,2,1124,8,90,9,9,8,10,9,9,f,strict_14_with_grace_period,f,t,0.74
1081,200,none,within an hour,1,f,2,f,51.52494077,-0.171184402,Apartment,Entire home/apt,4,1,1,1,Real Bed,85,63,2,15,2,1125,14,86,9,8,9,9,9,9,f,moderate,f,f,0.79
1082,250,none,within an hour,1,t,177,f,51.52511457,-0.17273339,Apartment,Entire home/apt,4,2,2,2,Real Bed,,,1,0,3,90,1,100,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.2
1083,100,none,within an hour,0.97,f,29,f,51.51866524,-0.170284149,Serviced apartment,Entire home/apt,4,1,0,2,Real Bed,0,40,1,0,1,1125,21,94,10,10,10,10,10,9,t,moderate,f,f,2.88
1084,85,none,within an hour,0.8,f,1,f,51.50073307,-0.068609554,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,60,1,0,2,999,7,89,10,8,10,10,9,9,f,strict_14_with_grace_period,f,f,0.37
1085,30,none,within an hour,1,t,9,f,51.53625545,-0.196205852,Apartment,Private room,2,1,1,1,Real Bed,0,10,1,10,2,14,62,100,10,10,10,10,10,10,t,moderate,f,f,5.87
1086,50,none,within an hour,1,t,2,f,51.55035397,-0.10930386,Apartment,Private room,1,1,1,1,Real Bed,80,15,1,0,3,28,12,98,10,10,10,10,10,10,t,flexible,f,f,1.89
1087,50,none,N/A,N/A,t,1,f,51.46894675,-0.035605675,Apartment,Entire home/apt,3,1,1,2,Real Bed,0,30,1,0,2,1125,12,95,10,9,10,10,10,10,f,moderate,f,f,1.06
1088,45,none,N/A,N/A,f,1,t,51.47603056,-0.018464939,Apartment,Private room,2,1,1,1,Real Bed,,10,1,0,1,1125,4,100,10,10,10,10,10,10,f,flexible,f,f,0.09
1089,125,none,within a few hours,1,f,4,f,51.53466454,-0.207061466,Apartment,Entire home/apt,4,1,2,2,Real Bed,250,65,2,5,3,1125,0,,,,,,,,f,strict_14_with_grace_period,f,f,
1090,59,none,within an hour,1,f,1,t,51.54882325,-0.10694908,Apartment,Private room,4,1,1,2,Real Bed,0,10,2,20,2,10,9,91,9,9,9,9,10,9,t,flexible,f,f,1.39
1091,136,none,within an hour,1,f,1,t,51.50172673,-0.096825885,Apartment,Entire home/apt,3,1,1,1,Real Bed,0,60,2,10,6,300,8,83,9,9,9,8,10,9,f,flexible,f,f,0.41
1092,200,none,N/A,N/A,f,1,f,51.52356147,-0.146090785,Apartment,Entire home/apt,4,2,2,4,Real Bed,900,50,1,0,4,31,0,,,,,,,,f,flexible,f,f,
1093,150,none,within a day,1,f,2,f,51.49768259,-0.050795014,Apartment,Entire home/apt,5,2,2,3,Real Bed,,,4,30,7,1125,0,,,,,,,,f,strict_14_with_grace_period,f,f,
1094,140,none,within an hour,1,f,179,f,51.49807023,-0.163758206,Serviced apartment,Entire home/apt,2,1,1,1,Real Bed,250,65,2,0,2,1125,1,40,2,2,2,2,10,6,f,strict_14_with_grace_period,f,f,0.07
1095,55,none,N/A,N/A,f,1,f,51.52671743,-0.128486303,Apartment,Private room,1,1,1,1,Real Bed,,,1,0,2,1125,0,,,,,,,,f,flexible,f,f,
1096,118,none,within an hour,1,f,5,f,51.53037186,-0.097968252,Apartment,Entire home/apt,5,1,2,3,Real Bed,0,40,4,9,1,1125,2,90,10,9,10,10,10,10,t,moderate,f,f,1.3
1097,25,none,within an hour,1,f,106,f,51.51801325,-0.0537986,Apartment,Private room,4,1,1,2,Real Bed,0,17,1,0,2,1125,63,85,9,9,9,9,8,9,t,strict_14_with_grace_period,f,f,3.25
1098,80,none,N/A,N/A,f,2,f,51.49397833,-0.185873298,Apartment,Private room,1,1,1,2,Real Bed,,,1,0,30,1125,0,,,,,,,,f,strict_14_with_grace_period,f,f,
1099,100,none,N/A,N/A,f,1,f,51.5594777,-0.196332485,Apartment,Entire home/apt,2,1,1,1,Real Bed,500,0,1,0,5,1125,2,100,10,10,10,10,10,10,f,moderate,f,f,0.26
1100,42,none,within an hour,1,t,1,f,51.54096151,-0.095418783,Apartment,Private room,2,1,1,1,Real Bed,0,15,1,10,2,3,36,98,10,10,10,10,10,10,f,moderate,f,f,2.67
1101,64,none,within an hour,1,f,2,t,51.53191342,-0.133628479,Apartment,Private room,2,1,1,1,Pull-out Sofa,,15,1,0,2,35,77,91,9,9,10,9,10,9,f,strict_14_with_grace_period,f,f,2.42
1102,30,none,within a few hours,0.83,f,2,f,51.51249329,-0.212187657,Apartment,Private room,2,1,1,1,Real Bed,0,20,1,15,1,62,0,,,,,,,,f,strict_14_with_grace_period,f,f,
1103,85,none,within an hour,1,f,29,f,51.49033739,-0.222557914,Apartment,Entire home/apt,4,1.5,1,2,Real Bed,100,36,1,20,1,1125,19,83,9,8,9,9,10,8,f,moderate,f,f,0.93
1104,30,none,within an hour,1,f,9,f,51.51124571,-0.014026982,Apartment,Private room,2,1,1,1,Real Bed,100,0,1,20,5,1125,15,97,10,10,10,10,9,9,f,strict_14_with_grace_period,f,f,0.43
1105,80,none,N/A,N/A,f,1,f,51.54018939,-0.198160875,Apartment,Entire home/apt,4,2,2,2,Real Bed,85,80,2,15,2,14,3,100,10,10,10,10,9,9,f,strict_14_with_grace_period,f,f,0.2
1106,120,none,within an hour,1,f,4,f,51.53455526,-0.096694013,Apartment,Entire home/apt,4,1,1,2,Real Bed,0,65,1,0,2,1124,22,95,10,10,9,9,10,9,f,moderate,f,f,2.35
1107,65,none,within a few hours,1,t,2,t,51.5387579,-0.103448695,Other,Private room,5,1.5,1,4,Real Bed,0,40,2,20,1,1125,33,95,9,10,10,10,10,9,t,moderate,f,f,1.06
1108,50,none,N/A,N/A,f,1,f,51.48724239,0.026512889,House,Private room,2,1,1,1,Real Bed,,,1,0,1,1125,4,100,10,10,9,10,10,10,f,flexible,f,f,0.16
1109,200,none,within an hour,1,f,1,f,51.52014959,-0.095387792,Apartment,Private room,2,1,1,1,Real Bed,,20,1,0,1,1125,3,100,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,1.2
1110,50,none,within an hour,1,f,1,f,51.5373503,-0.185653794,Farm stay,Private room,1,1,1,1,Real Bed,,,1,0,7,100,8,90,10,9,9,10,10,10,t,flexible,f,f,1.14
1111,43,none,within an hour,0.91,t,1,t,51.53485875,-0.073916439,Apartment,Private room,2,1,1,1,Real Bed,0,10,1,0,3,14,36,98,10,10,10,10,10,10,f,flexible,f,f,1.5
1112,120,none,a few days or more,0,f,1,f,51.50619496,-0.128620088,Apartment,Private room,1,1,1,1,Real Bed,,,1,0,1,9,0,,,,,,,,f,flexible,f,f,
1113,199,none,within an hour,1,t,1,t,51.4865887,-0.110018578,House,Entire home/apt,4,2,2,0,Real Bed,500,50,4,0,5,30,22,100,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.41
1114,130,none,within an hour,1,t,2,t,51.51520424,-0.063251169,Apartment,Entire home/apt,5,1,2,2,Real Bed,200,45,3,10,4,150,24,100,10,10,10,10,10,10,f,flexible,f,f,1.84
1115,45,none,N/A,N/A,f,2,t,51.54698289,-0.056867797,Apartment,Private room,2,1,1,1,Real Bed,0,20,1,10,1,1125,9,100,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,0.33
1116,119,none,within an hour,1,f,8,t,51.49153277,-0.164902326,Apartment,Entire home/apt,6,1.5,1,3,Real Bed,350,55,1,15,2,1125,6,93,10,10,10,10,10,9,f,strict_14_with_grace_period,f,f,0.77
1117,269,none,within an hour,1,f,8,t,51.51182289,-0.181665555,Apartment,Entire home/apt,6,2,2,2,Real Bed,0,65,4,10,2,90,2,100,10,10,10,10,9,9,t,moderate,f,f,0.36
1118,48,none,within a day,1,f,1,f,51.48832017,0.002425535,Bed and breakfast,Private room,2,1,1,0,Real Bed,,,1,0,1,7,0,,,,,,,,f,flexible,f,f,
1119,65,none,N/A,N/A,f,1,f,51.45767684,-0.219378465,Apartment,Entire home/apt,2,1,0,1,Real Bed,,,1,0,3,1125,0,,,,,,,,f,strict_14_with_grace_period,f,f,
1120,140,none,within a few hours,1,t,1,t,51.50542563,-0.237883171,Guesthouse,Entire home/apt,4,1,1,2,Real Bed,400,50,1,0,2,1125,23,97,10,10,10,10,9,9,t,flexible,f,f,0.82
1121,149,none,within an hour,1,f,1,f,51.51614859,-0.097888054,Apartment,Entire home/apt,3,1,1,1,Real Bed,0,65,1,0,2,1125,76,93,9,10,9,9,10,9,f,moderate,f,f,2.57
1122,30,none,N/A,N/A,f,1,t,51.46548379,-0.020269983,Apartment,Private room,2,1,1,1,Real Bed,0,20,1,0,1,7,0,,,,,,,,f,flexible,f,f,
1123,129,none,within an hour,1,f,4,f,51.51936176,-0.136416283,Apartment,Entire home/apt,4,1,1,1,Real Bed,350,50,2,12,2,1125,12,87,10,9,10,9,10,8,f,strict_14_with_grace_period,f,f,1.64
1124,140,none,N/A,N/A,f,2,f,51.5278193,-0.126686714,Apartment,Entire home/apt,5,1,2,4,Real Bed,,40,1,0,14,1125,4,100,10,10,10,10,10,10,f,moderate,f,f,0.13
1125,35,none,within an hour,1,t,2,f,51.50665137,-0.233199762,House,Private room,1,1,1,1,Real Bed,0,10,1,0,2,34,49,98,10,10,10,10,9,10,t,moderate,f,f,2.65
1126,220,none,within an hour,1,f,51,f,51.50284391,-0.081539209,Apartment,Entire home/apt,6,1.5,2,2,Real Bed,300,85,2,15,2,1124,0,,,,,,,,f,strict_14_with_grace_period,f,f,
1127,120,none,within an hour,1,f,1,f,51.48471544,-0.217011501,Serviced apartment,Entire home/apt,2,1,1,1,Real Bed,350,70,1,0,2,1125,9,84,9,8,9,10,9,8,f,strict_14_with_grace_period,f,f,0.63
1128,30,none,within an hour,1,f,2,f,51.47430872,-0.167871038,Apartment,Private room,2,1.5,1,1,Real Bed,150,16,1,20,1,6,64,91,9,9,10,10,9,9,t,strict_14_with_grace_period,f,f,3.78
1129,80,none,N/A,N/A,f,1,f,51.54181021,-0.096115082,Apartment,Private room,2,1,1,1,Real Bed,,,1,0,1,1125,0,,,,,,,,f,flexible,f,f,
1130,120,none,within an hour,1,f,1,t,51.51596345,-0.182341432,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,120,80,1,40,6,1125,8,97,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,1.06
