,Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
15,1491,908103280,20,RL,65.0,6500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,1976,1976,Hip,CompShg,HdBoard,Plywood,BrkFace,84.0,TA,TA,CBlock,TA,Ex,No,BLQ,1033.0,Unf,0.0,94.0,1127.0,GasA,TA,Y,SBrkr,1127,0,0,1127,0.0,1.0,1,1,3,1,TA,6,Typ,1,Po,Detchd,1991.0,Unf,2.0,480.0,TA,TA,Y,0,0,138,0,0,0,,,,0,5,2008,WD ,Normal,135000
16,568,533210020,160,FV,30.0,3000,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,Gd,TA,PConc,Gd,TA,Av,GLQ,294.0,Unf,0.0,318.0,612.0,GasA,Ex,Y,SBrkr,612,612,0,1224,0.0,0.0,2,1,2,1,Gd,4,Typ,0,,Detchd,2009.0,RFn,2.0,528.0,TA,TA,Y,0,234,0,0,0,0,,,,0,6,2009,New,Partial,173733
17,601,534275100,20,RL,65.0,8125,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,1959,1959,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,403.0,Unf,0.0,461.0,864.0,GasA,Ex,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,3,1,TA,5,Typ,0,,Detchd,1960.0,Unf,1.0,308.0,TA,TA,Y,0,0,0,0,0,0,,,,0,9,2009,WD ,Normal,118000
18,481,528250020,60,RL,,8965,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,652.0,Unf,0.0,130.0,782.0,GasA,Ex,Y,SBrkr,806,683,0,1489,1.0,0.0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2003.0,Fin,2.0,400.0,TA,TA,Y,0,75,0,0,0,0,,,,0,6,2009,WD ,Normal,192000
19,813,906226120,90,RL,64.0,7018,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,5,1979,1979,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1120,1120,0,2240,0.0,0.0,2,0,6,2,TA,12,Typ,0,,Detchd,1979.0,Unf,2.0,528.0,TA,TA,Y,154,0,0,0,0,0,,,,0,6,2009,WD ,Alloca,142953
20,570,533213020,120,FV,,4217,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,252.0,Gd,TA,PConc,Gd,TA,No,GLQ,962.0,Unf,0.0,183.0,1145.0,GasA,Ex,Y,SBrkr,1256,0,0,1256,1.0,0.0,1,1,1,1,Gd,5,Typ,1,Gd,Attchd,2008.0,Fin,2.0,641.0,TA,TA,Y,0,169,0,0,0,0,,,,0,3,2009,WD ,Normal,195000
21,2453,528365090,60,RL,92.0,10120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,5,1994,1994,Hip,CompShg,VinylSd,VinylSd,BrkFace,391.0,Gd,TA,PConc,Gd,TA,No,GLQ,740.0,Unf,0.0,425.0,1165.0,GasA,Ex,Y,SBrkr,1203,1323,0,2526,1.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1994.0,RFn,3.0,844.0,TA,TA,Y,309,78,0,0,0,0,,,,0,12,2006,WD ,Normal,290000
22,2348,527354040,20,RL,80.0,10400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,5,1988,1988,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,102.0,TA,TA,CBlock,Gd,TA,Av,GLQ,929.0,Unf,0.0,916.0,1845.0,GasA,Gd,Y,SBrkr,1872,0,0,1872,0.0,1.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1988.0,Fin,2.0,604.0,TA,TA,Y,197,39,0,0,0,0,,,,0,6,2006,WD ,Normal,241500
23,1818,531477040,90,RH,60.0,8400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,1Story,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,320.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,2020,0,0,2020,0.0,0.0,2,0,4,2,TA,10,Typ,2,TA,Detchd,1977.0,Unf,2.0,630.0,TA,TA,Y,0,0,0,0,0,0,,,,0,10,2007,WD ,Normal,144000
24,2809,907410040,60,RL,74.0,8581,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Gd,Mn,Unf,0.0,Unf,0.0,851.0,851.0,GasA,Ex,Y,SBrkr,851,886,0,1737,0.0,0.0,2,1,3,1,Gd,7,Typ,0,,Attchd,2006.0,RFn,2.0,578.0,TA,TA,Y,0,105,0,0,0,0,,,,0,8,2006,New,Partial,203160
25,639,535179160,20,RL,80.0,10400,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1956,1956,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,155.0,LwQ,750.0,295.0,1200.0,GasA,TA,Y,SBrkr,1200,0,0,1200,1.0,0.0,1,0,3,1,TA,6,Typ,2,Gd,Attchd,1956.0,Unf,1.0,294.0,TA,TA,Y,0,189,140,0,0,0,,,,0,11,2009,WD ,Family,144000
26,486,528280230,60,RL,,12224,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,40.0,Gd,TA,PConc,Gd,TA,No,GLQ,695.0,Unf,0.0,297.0,992.0,GasA,Ex,Y,SBrkr,1022,1032,0,2054,1.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,BuiltIn,2000.0,RFn,2.0,390.0,TA,TA,Y,24,48,0,0,0,0,,,,0,7,2009,WD ,Normal,244000
27,1697,528110070,20,RL,110.0,14226,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,375.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1935.0,1935.0,GasA,Gd,Y,SBrkr,1973,0,0,1973,0.0,0.0,2,0,3,1,Gd,9,Typ,1,Gd,Attchd,2006.0,Fin,3.0,895.0,TA,TA,Y,315,45,0,0,0,0,,,,0,7,2007,New,Partial,395000
28,105,533238045,20,FV,57.0,12853,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,5,2010,2010,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,Po,No,GLQ,1032.0,Unf,0.0,610.0,1642.0,GasA,Ex,Y,SBrkr,1418,0,0,1418,1.0,0.0,1,1,1,1,Gd,6,Typ,1,Gd,Attchd,2010.0,RFn,3.0,852.0,TA,TA,Y,160,192,0,224,0,0,,,,0,4,2010,New,Partial,267916
29,2380,528102080,60,RL,72.0,16387,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,Stone,215.0,Gd,TA,PConc,Ex,Gd,No,GLQ,1369.0,Unf,0.0,369.0,1738.0,GasA,Gd,Y,SBrkr,1738,851,0,2589,1.0,0.0,2,1,4,1,Ex,11,Typ,1,Gd,Attchd,2006.0,RFn,3.0,831.0,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2006,New,Partial,412083
30,1717,528174020,120,RL,34.0,3901,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,1Story,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,182.0,Gd,TA,PConc,Gd,TA,Av,ALQ,866.0,Unf,0.0,436.0,1302.0,GasA,Ex,Y,SBrkr,1302,0,0,1302,1.0,0.0,1,1,1,1,Gd,5,Typ,1,Gd,Attchd,2005.0,RFn,2.0,631.0,TA,TA,Y,110,50,0,0,0,0,,,,0,8,2007,New,Partial,204000
31,503,528385050,60,RL,79.0,9085,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,5,1995,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,286.0,Gd,TA,PConc,Gd,TA,No,GLQ,816.0,Unf,0.0,254.0,1070.0,GasA,Ex,Y,SBrkr,1094,967,0,2061,1.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1995.0,Fin,2.0,647.0,TA,TA,Y,296,102,209,0,0,0,,,,0,11,2009,WD ,Normal,260000
32,400,527405180,20,RL,70.0,8120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,1970,1970,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,191.0,Unf,0.0,673.0,864.0,GasA,Ex,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,3,1,TA,5,Typ,0,,Detchd,1994.0,Unf,2.0,463.0,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2009,WD ,Normal,124500
33,1819,532353120,20,RL,64.0,6285,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,LwQ,138.0,Rec,351.0,405.0,894.0,GasA,TA,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1979.0,Unf,1.0,308.0,TA,TA,Y,192,0,0,0,0,0,,,,0,3,2007,WD ,Normal,120750
34,1085,528228540,20,RL,53.0,3710,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,Unf,0.0,1146.0,1146.0,GasA,Ex,Y,SBrkr,1246,0,0,1246,0.0,0.0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,2007.0,Fin,2.0,428.0,TA,TA,Y,100,24,0,0,0,0,,,,0,3,2008,New,Partial,187687
35,720,902330040,70,RM,121.0,17671,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,9,1882,1986,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,BrkTil,TA,TA,No,BLQ,216.0,Unf,0.0,700.0,916.0,GasA,Gd,Y,SBrkr,916,826,0,1742,0.0,0.0,1,1,4,1,Gd,8,Typ,1,Gd,Attchd,1925.0,Unf,2.0,424.0,TA,TA,P,0,169,0,0,0,0,,,,0,11,2009,WD ,Normal,168000
36,489,528290180,60,RL,42.0,8433,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,683.0,Unf,0.0,111.0,794.0,GasA,Ex,Y,SBrkr,819,695,0,1514,1.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,2000.0,Fin,2.0,394.0,TA,TA,Y,0,72,0,0,0,0,,,,0,6,2009,WD ,Normal,190000
37,567,533210010,160,FV,40.0,3951,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,612.0,612.0,GasA,Ex,Y,SBrkr,612,612,0,1224,0.0,0.0,2,1,2,1,Gd,4,Typ,0,,Detchd,2009.0,RFn,2.0,528.0,TA,TA,Y,0,234,0,0,0,0,,,,0,6,2009,New,Partial,164500
38,667,535402010,90,RL,81.0,9671,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,Duplex,2Story,5,1969,1969,Gable,CompShg,MetalSd,MetalSd,Stone,480.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1248.0,1248.0,GasA,TA,Y,SBrkr,1248,1296,0,2544,0.0,0.0,2,2,6,2,TA,12,Typ,0,,Attchd,1969.0,RFn,3.0,907.0,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2009,WD ,Normal,190000
39,2126,907135080,20,RL,70.0,16561,Pave,,IR2,Low,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,549.0,Unf,0.0,548.0,1097.0,GasA,Ex,Y,SBrkr,1097,0,0,1097,1.0,0.0,1,1,3,1,TA,6,Typ,0,,Attchd,1996.0,Unf,1.0,242.0,TA,TA,Y,306,0,0,0,0,0,,GdPrv,,0,7,2007,WD ,Normal,147900
40,2409,528186110,120,RL,48.0,6373,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,5,2006,2006,Hip,CompShg,MetalSd,MetalSd,BrkFace,572.0,Ex,TA,PConc,Ex,Gd,No,GLQ,415.0,Unf,0.0,1251.0,1666.0,GasA,Ex,Y,SBrkr,1666,0,0,1666,1.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2006.0,RFn,2.0,575.0,TA,TA,Y,228,75,0,0,0,0,,,,0,6,2006,New,Partial,310090
41,982,923252075,80,RL,62.0,7706,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Rec,114.0,GLQ,270.0,0.0,384.0,GasA,Ex,Y,SBrkr,1091,0,0,1091,0.0,1.0,1,0,2,1,TA,5,Typ,0,,Attchd,1993.0,Fin,1.0,429.0,TA,TA,Y,280,0,0,0,0,0,,,Shed,700,8,2009,WD ,Normal,131250
42,1853,533244040,60,FV,106.0,8413,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,Ex,TA,Mn,GLQ,901.0,Unf,0.0,319.0,1220.0,GasA,Ex,Y,SBrkr,1220,1142,0,2362,1.0,0.0,2,1,3,1,Gd,8,Typ,2,TA,Attchd,1998.0,RFn,2.0,1105.0,Gd,TA,Y,147,0,36,0,144,0,,,,0,6,2007,WD ,Normal,312500
43,729,903200080,70,RL,144.0,21384,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,2Story,6,1923,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Gd,GLQ,1309.0,Unf,0.0,15.0,1324.0,GasA,Ex,Y,SBrkr,1072,504,0,1576,2.0,0.0,1,1,3,1,Gd,6,Typ,1,TA,Attchd,1923.0,RFn,2.0,528.0,TA,TA,Y,0,312,0,0,0,0,,,,0,5,2009,WD ,Normal,223500
44,93,533130160,60,RL,88.0,11134,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,5,1992,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,180.0,Gd,TA,PConc,Gd,TA,No,GLQ,1129.0,Unf,0.0,261.0,1390.0,GasA,Ex,Y,SBrkr,1402,823,0,2225,1.0,0.0,2,1,4,1,Gd,7,Typ,1,TA,Attchd,1992.0,RFn,3.0,713.0,TA,TA,Y,198,30,0,0,0,0,,,,0,6,2010,WD ,Normal,285000
45,1694,528106110,20,RL,105.0,15431,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1430.0,Unf,0.0,564.0,1994.0,GasA,Ex,Y,SBrkr,2046,0,0,2046,1.0,0.0,2,1,2,1,Ex,7,Typ,2,Gd,Attchd,2005.0,Fin,3.0,878.0,TA,TA,Y,188,65,0,0,175,0,,,,0,8,2007,WD ,Normal,450000
