index,age,duration,previous,housing_yes,default_yes,loan_yes,poutcome_other,poutcome_success,poutcome_unknown,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,y_yes
36,78,97,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
37,32,132,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
38,33,765,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
39,23,16,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
40,38,609,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
41,36,106,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
42,52,365,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
43,32,205,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
44,32,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
45,34,105,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
46,55,59,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
47,26,425,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
48,32,204,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
49,61,181,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
50,45,1018,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
51,37,1740,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
52,38,98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
53,34,441,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
54,53,272,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
55,48,159,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,57,140,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
57,33,295,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
58,36,314,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
59,54,579,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,41,554,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
61,63,323,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
62,48,227,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
63,48,134,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
64,56,223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,51,134,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,31,155,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
67,29,130,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
68,41,630,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
69,32,164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70,37,268,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
71,42,380,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,31,154,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
73,41,154,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
74,56,221,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
75,54,67,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,41,367,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,40,87,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
78,50,701,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,40,204,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
80,27,652,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,60,63,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
82,28,150,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,52,398,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
84,37,224,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
85,51,406,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
86,41,60,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
87,35,521,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
88,38,279,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,34,203,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
90,39,201,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
91,34,372,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
92,27,391,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
93,32,165,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
94,57,231,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
95,41,291,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
96,41,149,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,30,233,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,36,473,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99,31,736,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
100,36,337,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
101,38,553,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
102,49,345,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
103,57,65,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
104,34,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
105,32,259,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
106,37,371,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
107,33,280,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
108,56,243,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
109,27,435,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
110,21,258,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
111,58,7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
112,32,317,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
113,33,76,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
114,25,170,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
115,25,386,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
116,30,83,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
117,22,65,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
118,39,69,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
119,46,564,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,31,588,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,45,113,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
122,32,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
123,36,779,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
124,51,281,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
125,34,1877,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
126,24,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
127,45,32,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
128,32,176,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
129,77,161,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
130,41,187,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
131,37,24,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
132,43,67,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
133,48,85,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
134,27,317,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
135,33,236,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
136,29,54,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
137,34,71,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
138,52,489,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
139,60,39,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
140,32,204,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
141,32,455,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
142,56,86,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
143,31,190,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
144,42,280,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
145,35,588,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
146,56,45,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
147,48,168,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
148,46,194,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
149,37,103,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
150,41,333,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
151,36,102,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
152,45,92,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153,55,213,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
154,39,289,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
155,35,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
156,55,324,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
157,55,84,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
158,27,168,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
159,34,380,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
160,34,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
161,25,199,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
162,41,35,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
163,43,82,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
164,28,676,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
165,31,455,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
166,78,80,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
167,45,549,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,48,135,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
169,32,412,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
170,42,101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
171,37,253,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
172,40,272,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
173,32,84,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
174,42,135,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
175,43,166,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
176,44,18,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
177,37,147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
178,37,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
179,37,65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
180,28,194,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
181,32,333,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
182,34,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,40,140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,34,109,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
185,34,61,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
186,34,377,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
187,37,96,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
188,36,152,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
189,56,382,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
190,49,97,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
191,33,543,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
192,30,240,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
193,36,48,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
194,23,471,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
195,57,354,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
196,27,435,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
197,38,152,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
198,42,285,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
199,75,185,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
200,34,301,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
201,48,273,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
202,35,768,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
203,39,1337,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
204,29,403,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
205,45,139,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
206,42,196,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
207,29,115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
208,38,60,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
209,56,17,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
210,36,141,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
211,25,95,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
212,38,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
213,57,198,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
214,31,220,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
215,42,654,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
216,45,71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
217,30,256,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
218,49,834,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
219,49,151,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
220,53,20,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
221,37,178,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
222,49,59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
223,41,111,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
224,54,186,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
225,32,227,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
226,33,297,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
227,33,210,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
228,36,9,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
229,35,112,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
230,52,112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
231,40,222,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
232,44,195,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
233,45,768,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
234,30,123,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
235,48,145,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
236,33,124,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
237,57,216,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
238,57,69,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
239,51,168,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
240,34,483,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
241,50,690,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
242,44,125,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
243,27,344,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
244,50,673,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
245,36,60,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
246,42,247,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
247,32,123,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
248,42,144,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
249,43,9,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
250,31,155,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
251,32,134,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
252,55,221,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
253,58,84,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
254,46,71,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
255,55,246,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
256,34,361,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
257,28,119,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
258,42,375,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
259,29,1097,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
260,54,97,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
261,32,181,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
262,39,83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
263,53,180,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
264,58,543,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
265,40,373,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
266,29,230,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
267,33,83,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
268,38,58,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
269,56,88,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
270,40,297,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
271,24,487,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
272,46,29,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
273,35,484,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
274,35,262,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
275,34,644,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
276,35,699,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
277,38,247,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
278,50,49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
279,51,341,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
280,59,64,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
281,32,121,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
282,37,98,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
283,42,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,40,197,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
285,28,331,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
